roi_id,cohort_role,event_reference_cycle,cycleNo,phase_slope_median_per_s_protocol_residual,phase_slope_iqr_per_s_protocol_residual,phase_slope_positive_fraction_protocol_residual,phase_slope_negative_fraction_protocol_residual,phase_slope_abs_median_per_s_protocol_residual,radius2_slope_median_px2_per_s_protocol_residual,radius2_slope_iqr_px2_per_s_protocol_residual,radius2_slope_positive_fraction_protocol_residual,radius2_slope_negative_fraction_protocol_residual,diffusion_proxy_median_um2_per_s_protocol_residual,diffusion_proxy_iqr_um2_per_s_protocol_residual,default_q70_diffusion_proxy_um2_per_s_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,q70_phase_slope_bootstrap_p50_protocol_residual,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,threshold_robust_diffusion_score_protocol_residual
cycle116_rank7_obj37,event,116.0,116.0,8.807194100396206e-07,4.780046047383437e-07,0.0026455239053564394,-0.002645523889711718,9.922366804337021e-07,0.002199573650686876,0.00020250405156659577,0.6424921127279913,-0.6424921127279912,5.067817691182701e-06,4.6656933487276035e-07,5.228028078480642e-06,2.449019551320061e-06,9.964826157380883e-07,0.002282631703471048,0.040367038649031795,0.43435862345041476
cycle116_rank8_obj20,event,116.0,116.0,-1.9830517422007224e-06,-4.1808466100726544e-07,0.0026455239053564394,-0.002645523889711718,-1.871534471806641e-06,-0.0022077921134276237,0.0010280152238651957,-0.35750788727200866,0.3575078872720088,-5.086753029337301e-06,2.368547075848778e-06,-5.283396094891727e-06,3.4259661159889553e-06,-2.1715103161221545e-06,-0.0023320912544300522,-0.11347911519712195,0.31897400806579923
cycle118_rank4_obj1,control,116.0,118.0,-1.023234924882891e-06,-5.951350026418773e-07,-0.004561664380113628,0.004561664403105362,-1.1921274314942544e-06,0.0013117721671487734,-0.0004770423639894769,0.6427169925737156,-0.6427169925737155,3.022323073110796e-06,-1.0991056065514892e-06,2.885049113077643e-06,-1.0246332137107062e-06,-9.815708117649186e-07,0.0012288833662684974,0.0300238180300495,0.12599724468079776
cycle118_rank1_obj7,control,116.0,118.0,3.371550227898773e-07,-4.468500306884378e-07,-0.004561664380113628,0.004561664403105362,1.6826251617851401e-07,0.0010069766745469735,-0.00044699835362707694,0.4998598497165727,-0.4998598497165727,2.320074258156389e-06,-1.0298842066764595e-06,3.1865263735506084e-06,-1.726882028665113e-06,2.047374318045092e-07,0.0014486353241939974,0.16463920264543408,-0.4605412168576638
cycle118_rank2_obj2,control,116.0,118.0,-1.6448342985673448e-06,-8.95278111318415e-07,-0.004561664380113628,0.004561664403105362,-1.813726805178708e-06,-1.6659930701826565e-05,-0.000980086894747077,-0.3572830074262844,0.3572830074262845,-3.838448033702208e-08,-2.258120205416881e-06,-1.7565844037017508e-07,-1.7635440270282522e-06,-1.7242645900539412e-06,-0.00011719769136930261,0.12617766418389553,0.45292032160387474
cycle118_rank3_obj9,control,116.0,118.0,1.5021399329445662e-06,7.456131481412556e-07,-0.004561664380113628,0.004561664403105362,1.333247426333203e-06,0.0003902214840161516,-0.000267608889559177,0.07128842114514411,-0.07128842114514411,8.990702991732347e-07,-6.165708814641629e-07,7.617963391400817e-07,-2.700998806538509e-06,1.5352697957969298e-06,0.0003945823235115597,-0.06613002812379665,-0.9893873707038177
cycle156_rank1_obj1,event,156.0,156.0,-9.443819639861934e-07,-4.28403432964412e-07,0.029636111502795215,-0.029636111421748587,-9.556897309271896e-07,-0.0012091387242591902,-0.00027184754415983945,-0.3598390314940173,0.3598390314940174,-2.785855620693262e-06,-6.263367418793081e-07,-2.940111563925318e-06,1.6447021567792111e-06,-9.010287603946406e-07,-0.0012592197077216742,0.0943535550746859,0.8144232820282292
cycle156_rank6_obj3,event,156.0,156.0,-5.470328224704716e-07,-4.729290058285952e-07,0.029636111502795215,-0.029636111421748587,-5.583405894114678e-07,5.909097034780511e-05,-8.227730662683944e-05,0.06873239707741119,-0.06873239707741119,1.3614559568130226e-07,-1.8956691460335883e-07,1.9148964483906542e-07,-1.277299059595353e-06,-5.617029311915904e-07,8.7711541384069e-05,0.2866612473823782,-0.627884410279463
cycle156_rank8_obj10,event,156.0,156.0,-6.069117570902711e-08,5.664140610728466e-07,0.029636111502795215,-0.029636111421748587,-7.199894265002334e-08,-0.0007478809087383901,-0.00010533309939463943,-0.3598390314940173,0.3598390314940174,-1.7231176137333085e-06,-2.4268746114035353e-07,-1.949045517002346e-06,5.819641498192576e-07,-3.2821288998257616e-08,-0.0008374037827656741,-0.2518002910791604,0.48750020510515235
cycle156_rank2_obj2,event,156.0,156.0,1.1207058970934851e-06,3.057404285668281e-08,0.029636111502795215,-0.029636111421748587,1.109398130152489e-06,0.00097692608991711,0.00017635741095816055,0.6401609685059827,-0.6401609685059826,2.2508377111691248e-06,4.063274747123731e-07,2.3115005842695833e-06,4.571821490626747e-07,1.1150497366468269e-06,0.000999261289402026,0.11358432430545506,0.16057712818207548
