rho,p_value,n,residual_feature,context_feature
0.01563932478985578,0.9257507414468725,38,radius2_slope_median_px2_per_s_protocol_residual,I_abs_mean_mA
0.01563932478985578,0.9257507414468725,38,q70_phase_slope_bootstrap_p50_protocol_residual,I_abs_mean_mA
0.01563932478985578,0.9257507414468725,38,diffusion_proxy_median_um2_per_s_protocol_residual,I_abs_mean_mA
0.01434693537374297,0.931871542956236,38,default_q70_diffusion_proxy_um2_per_s_protocol_residual,duration_s
0.01302260287770516,0.9381476300532029,38,q70_phase_slope_bootstrap_p50_protocol_residual,I_mean_mA
0.01280188079503219,0.9391940125811559,38,phase_slope_abs_median_per_s_protocol_residual,V_mean
-0.010634300145568758,0.9403555731713631,52,radius2_slope_median_px2_per_s_protocol_residual,timing_elapsed_s
-0.010634300145568758,0.9403555731713631,52,diffusion_proxy_median_um2_per_s_protocol_residual,timing_elapsed_s
-0.012360436629686252,0.9412870775615302,38,phase_slope_iqr_per_s_protocol_residual,duration_s
0.011698270381667347,0.9444273989650407,38,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,duration_s
0.008608161224245783,0.9590924167294024,38,threshold_robust_phase_score_protocol_residual,I_mean_mA
0.007229227536808401,0.9594338229491404,52,radius2_slope_median_px2_per_s_protocol_residual,cycles_from_block_start
0.007229227536808401,0.9594338229491404,52,diffusion_proxy_median_um2_per_s_protocol_residual,cycles_from_block_start
0.006543780037391656,0.963277378926871,52,radius2_slope_iqr_px2_per_s_protocol_residual,n_frames_percentile
0.006543780037391656,0.963277378926871,52,diffusion_proxy_iqr_um2_per_s_protocol_residual,n_frames_percentile
-0.00728382872820797,0.9653817637085939,38,q70_phase_slope_bootstrap_p50_protocol_residual,V_mean
0.005586221278442854,0.9686481292398704,52,threshold_robust_phase_score_protocol_residual,cycles_from_block_start
-0.0035161798868412835,0.9802629669855242,52,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,timing_elapsed_s
-0.0015450545787107815,0.9926546293389262,38,phase_slope_median_per_s_protocol_residual,V_mean
0.001200646790628731,0.9932599364433499,52,diffusion_proxy_iqr_um2_per_s_protocol_residual,timing_elapsed_s
0.001200646790628731,0.9932599364433499,52,radius2_slope_iqr_px2_per_s_protocol_residual,timing_elapsed_s
-0.0013243324960378127,0.993703945409044,38,phase_slope_abs_median_per_s_protocol_residual,duration_s
-0.0013243324960378127,0.993703945409044,38,phase_slope_iqr_per_s_protocol_residual,V_mean
-0.0006003233953143655,0.9966299390732304,52,default_q70_diffusion_proxy_um2_per_s_protocol_residual,timing_elapsed_s
0.0002207220826729688,0.9989506474289416,38,phase_slope_median_per_s_protocol_residual,I_mean_mA
