feature,target,n,spearman_rho,spearman_p
q65_phase_fraction_slope,visual_review_score,24,0.3608695652173913,0.0831945927835429
q75_time_of_max_abs_rate_frac,capacity_fraction_of_first,122,-0.15727804108344184,0.08361351133760463
q55_logistic_k,shape_V_mean,119,-0.156845987749881,0.08847677852500357
masked_mean_total_variation,echem_regime_pc1,128,-0.1510278369118726,0.08881190208466226
q65_logistic_t0,shape_V_mean,119,0.15487668815798006,0.0926006463281351
q75_logistic_t0,echem_regime_pc1,127,0.1480879293946071,0.09660506641158527
q75_logistic_amp,cycles_to_next_event,127,-0.14758720374814865,0.09775031740717226
masked_mean_delta,capacity_fraction_of_first,122,0.1490991958742487,0.10119737073278921
masked_minus_bg_delta,capacity_fraction_of_first,122,0.14904631913131963,0.10131984589970497
q55_logistic_t0,cycles_to_next_event,124,0.14698582107519795,0.10330264000175128
q55_logistic_amp,visual_sanity_score,22,-0.3551665725578769,0.10479718977207556
q75_time_of_max_abs_rate_frac,cycles_to_next_event,128,-0.1434644574198143,0.10618916753176844
q55_phase_fraction_first,echem_regime_pc1,128,0.14288351357189513,0.10762699761265485
q65_logistic_r2,shape_V_mean,119,0.14689621729821523,0.11089234654677572
q75_avrami_n,capacity_fraction_of_first,122,-0.14271432916556334,0.11684802678353444
q75_avrami_r2,cycles_to_next_event,128,-0.1386362614575052,0.11860635419845586
q75_logistic_r2,shape_V_mean,121,0.1425764717229593,0.11874973225197183
q55_logistic_r2,capacity_fraction_of_first,119,0.1424521926331526,0.122235013797894
q65_avrami_n,echem_regime_pc1,128,-0.13651451389525615,0.12440669771832025
q55_phase_fraction_first,visual_review_score,24,-0.31970424946983816,0.12778247585096988
q75_avrami_n,visual_review_score,24,0.3182608695652174,0.12960877674073526
q75_max_abs_rate,visual_review_score,24,0.3173913043478261,0.13071808560327583
q75_avrami_r2,echem_regime_pc1,128,0.13425968374204364,0.13080793112010858
q65_avrami_r2,echem_regime_pc1,128,0.13221087867897238,0.13684042932978913
q55_avrami_logk,cycles_to_next_event,128,-0.13215048851168978,0.13702140626034817
q65_logistic_r2,capacity_fraction_of_first,119,0.13602055553751827,0.14020945590686956
q65_logistic_t0,cycles_to_next_event,124,0.13118313343442026,0.1464229330237593
q65_avrami_r2,shape_V_mean,122,-0.13215219976548137,0.14677589002980976
q55_phase_fraction_slope_r2,cycles_to_next_event,128,0.12582514104509948,0.157005351777648
q75_avrami_logk,shape_V_mean,122,-0.12886062251814667,0.15719616409928402
q65_logistic_amp,visual_sanity_score,22,-0.30999435347261434,0.16031965050473138
q55_logistic_r2,visual_review_score,22,-0.30095990965556185,0.1735037777241618
q65_avrami_logk,visual_review_score,24,0.2869565217391304,0.17397424190366445
q75_phase_fraction_slope_r2,cycles_to_next_event,128,0.1188580916616087,0.1814589282997664
q65_phase_fraction_delta,cycles_to_next_event,128,-0.1163376191436575,0.19096031508270067
q75_phase_fraction_last,echem_regime_pc1,128,0.11575240639074727,0.19321722051423906
q65_logistic_r2,echem_regime_pc1,124,0.11748098612765702,0.1937831574449936
q55_logistic_t0,visual_review_score,22,-0.2874082439299831,0.19465047863325052
q75_phase_fraction_first,visual_sanity_score,24,-0.2722129566541466,0.19815026723536783
q75_logistic_k,visual_review_score,24,0.2713043478260869,0.19971124015805528
q65_phase_fraction_slope_r2,cycles_to_next_event,128,0.11344946121916191,0.202286638550077
q65_logistic_k,capacity_fraction_of_first,119,-0.11621360376508984,0.2081644463795744
q75_phase_fraction_slope_r2,visual_review_score,24,-0.26608695652173914,0.20883621481010187
particle_centroid_path_px,visual_review_score,24,0.2643478260869565,0.2119392787870508
q75_phase_fraction_total_variation,cycles_to_next_event,128,-0.11075660496074034,0.21327560836394627
