feature,target,n,spearman_rho,spearman_p
masked_minus_background_mean_median_source_echem_context_residual,shape_V_mean,122,-0.03513659567636786,0.7008155453767616
masked_minus_background_mean_slope_source_echem_context_residual,capacity_fraction_of_first,122,0.033537074202763445,0.7138287128842994
masked_minus_background_mean_median_source_echem_context_residual,visual_review_score,24,-0.07652173913043478,0.7222991032128186
masked_minus_background_mean_median_source_echem_context_residual,echem_regime_pc1,128,-0.031624851336680866,0.7230592690793604
q75_phase_fraction_last,shape_V_mean,122,-0.032251614151048213,0.7243469011139793
q65_phase_fraction_last,shape_V_mean,122,0.0320728712558889,0.7258135827480103
q65_logistic_t0,visual_review_score,22,0.07622811970638058,0.7359946162262682
q65_logistic_amp,shape_V_mean,119,0.030500996391738505,0.7419356045107982
q75_logistic_r2,visual_sanity_score,24,-0.06956521739130435,0.7466974841785087
q55_logistic_k,visual_review_score,22,0.07284020327498589,0.7473495204277644
q65_logistic_k,visual_review_score,22,-0.07058159232072277,0.7549478236684113
q55_time_of_max_abs_rate_frac,cycles_to_next_event,128,0.02761073161345374,0.7570367528740215
phase_fraction_slope_r2_source_echem_context_residual,echem_regime_pc1,128,0.027538687048879535,0.7576510568088569
q55_phase_fraction_slope_r2,visual_review_score,24,-0.06608695652173913,0.7589874525518234
q55_phase_fraction_last,visual_sanity_score,24,0.06479669646546003,0.7635610237971939
masked_minus_bg_delta,shape_V_mean,122,0.027244741794203966,0.7657906292080416
q65_phase_fraction_last,visual_sanity_score,24,-0.06218743352054218,0.772833391362395
q65_phase_fraction_slope,visual_sanity_score,24,-0.06173913043478261,0.7744295754905791
q65_phase_fraction_delta,shape_V_mean,122,-0.025969219092857786,0.7764606410423935
q65_logistic_k,cycles_to_next_event,124,-0.025139416265278398,0.7816654368788778
q75_phase_fraction_slope_r2,visual_sanity_score,24,-0.05913043478260869,0.783735252825447
q55_phase_fraction_slope,visual_sanity_score,24,0.05739130434782608,0.7899551413098405
q65_avrami_logk,capacity_fraction_of_first,122,-0.023860630246743408,0.7941902136728473
phase_fraction_slope_per_norm_time_source_echem_context_residual,capacity_fraction_of_first,122,-0.02323932851732682,0.7994348212845342
q65_logistic_k,shape_V_mean,119,-0.022613114662876767,0.8071476531183175
phase_fraction_slope_per_norm_time_source_echem_context_residual,visual_review_score,24,0.05217391304347826,0.8086881976469138
masked_minus_background_mean_slope_source_echem_context_residual,visual_sanity_score,24,-0.05130434782608695,0.8118206065534151
q55_phase_fraction_last,shape_V_mean,122,-0.021304583494940927,0.8158229265048746
q65_logistic_t0,visual_sanity_score,22,0.051383399209486175,0.8203531110821479
q55_logistic_amp,echem_regime_pc1,124,-0.02050236145409521,0.8211888317083634
particle_centroid_path_px,cycles_to_next_event,128,-0.019783899277297415,0.8245822738239077
q75_phase_fraction_slope,visual_sanity_score,24,-0.046956521739130425,0.8275237958648594
masked_minus_background_mean_slope_source_echem_context_residual,shape_V_mean,122,0.019088504197394725,0.8346918577048823
masked_minus_bg_slope_r2,echem_regime_pc1,128,0.018450691405982468,0.8362319845192427
q55_phase_fraction_delta,shape_V_mean,122,-0.018797744227844117,0.8371747847815326
q55_avrami_r2,visual_review_score,24,0.042608695652173914,0.8432913759776878
q65_avrami_r2,cycles_to_next_event,128,-0.016357669399560997,0.8545918978237551
q75_phase_fraction_first,cycles_to_next_event,128,-0.01612089857167525,0.8566739420080945
masked_minus_background_mean_median_source_echem_context_residual,capacity_fraction_of_first,122,-0.01524172114930479,0.8676636284582976
q65_phase_fraction_delta,echem_regime_pc1,128,-0.013981151538135844,0.8755328135543096
q55_logistic_k,echem_regime_pc1,124,-0.013269566455398434,0.8837054341264309
q75_phase_fraction_slope_r2,echem_regime_pc1,128,-0.012521747145251129,0.888436266094399
q55_time_of_max_abs_rate_frac,visual_review_score,24,0.028827558023011613,0.8936288671886189
phase_fraction_slope_r2_source_echem_context_residual,shape_V_mean,122,0.01167254100159248,0.8984619522241242
masked_mean_delta,shape_V_mean,122,-0.01101158171497909,0.9041833644725614
q65_time_of_max_abs_rate_frac,visual_review_score,24,-0.025741867102482604,0.9049615470257637
phase_fraction_slope_r2_source_echem_context_residual,capacity_fraction_of_first,122,-0.00980863581334272,0.9146087469123168
phase_fraction_slope_per_norm_time_source_echem_context_residual,visual_sanity_score,24,0.021739130434782605,0.9196887674366273
masked_minus_background_mean_slope_source_echem_context_residual,cycles_to_next_event,128,0.008577033657142841,0.923450762762186
masked_minus_background_mean_median_source_echem_context_residual,cycles_to_next_event,128,-0.008307748031300681,0.9258471524869795
masked_minus_bg_delta,visual_sanity_score,24,-0.02,0.9260958020254711
