target,feature_family,method,comparison,delta_roc_auc,delta_average_precision,delta_spearman_rho,comparison_metric,base_metric
future_any_drop_within_16cycles,particle_vs_context,source_mean_resid_2,particle_vs_context_source_mean_resid_2_minus_all_video_raw,0.16374269005847958,0.07720980941032352,0.23038011828261643,0.6526315789473685,0.4888888888888889
future_any_drop_within_16cycles,norm_heterogeneity,source_mean_resid_2,norm_heterogeneity_source_mean_resid_2_minus_all_video_raw,0.145029239766082,0.028304741970383906,0.20405096190746028,0.6339181286549709,0.4888888888888889
future_any_drop_within_16cycles,particle_vs_context,source_confound_filter_0.50,particle_vs_context_source_confound_filter_0.50_minus_same_raw,0.13450292397660824,0.06720904468258582,0.18924081144643493,0.5485380116959064,0.4140350877192982
future_any_drop_within_16cycles,particle_intensity,source_mean_resid_2,particle_intensity_source_mean_resid_2_minus_same_raw,0.1111111111111111,0.09115230083367276,0.15632936597748973,0.46549707602339185,0.35438596491228075
future_any_drop_within_16cycles,particle_intensity,source_confound_filter_0.50,particle_intensity_source_confound_filter_0.50_minus_same_raw,0.10292397660818708,0.06270771095487515,0.1448103600633589,0.45730994152046783,0.35438596491228075
future_any_drop_within_16cycles,handcrafted_particle,source_confound_filter_0.50,handcrafted_particle_source_confound_filter_0.50_minus_same_raw,0.09590643274853805,0.0663270725934908,0.13493692642267538,0.4596491228070176,0.36374269005847953
future_any_drop_within_16cycles,all_video,source_mean_resid_4,all_video_source_mean_resid_4_minus_same_raw,0.09005847953216378,0.03502098707615675,0.12670906505543902,0.5789473684210527,0.4888888888888889
future_any_drop_within_16cycles,handcrafted_particle,source_mean_resid_2,handcrafted_particle_source_mean_resid_2_minus_same_raw,0.08771929824561403,0.05341229631022726,0.12341792050854455,0.45146198830409356,0.36374269005847953
future_any_drop_within_16cycles,particle_intensity,source_mean_resid_4,particle_intensity_source_mean_resid_4_minus_same_raw,0.07134502923976599,0.06111989426065789,0.10037990868028286,0.42573099415204674,0.35438596491228075
future_any_drop_within_16cycles,particle_gradient,source_confound_filter_0.50,particle_gradient_source_confound_filter_0.50_minus_all_video_raw,0.06783625730994153,0.0015211447479175355,0.09544319185994109,0.5567251461988304,0.4888888888888889
future_any_drop_within_16cycles,particle_vs_context,source_confound_filter_0.50,particle_vs_context_source_confound_filter_0.50_minus_all_video_raw,0.05964912280701756,-0.002436315193742211,0.08392418594581028,0.5485380116959064,0.4888888888888889
future_any_drop_within_16cycles,handcrafted_particle,source_mean_resid_4,handcrafted_particle_source_mean_resid_4_minus_all_video_raw,0.05730994152046781,0.012675693947405198,0.08063304139891575,0.5461988304093567,0.4888888888888889
future_any_drop_within_16cycles,norm_heterogeneity,source_confound_filter_0.50,norm_heterogeneity_source_confound_filter_0.50_minus_same_raw,0.0011695906432749315,0.026823331551722007,0.0016455722734471934,0.3064327485380117,0.3052631578947368
future_any_drop_within_16cycles,video_embedding,source_mean_resid_4,video_embedding_source_mean_resid_4_minus_same_raw,-0.010526315789473772,0.013857918160486427,-0.014810150461025344,0.4514619883040935,0.4619883040935673
future_any_drop_within_16cycles,video_embedding,source_mean_resid_2,video_embedding_source_mean_resid_2_minus_same_raw,-0.017543859649122806,0.004595408537974577,-0.024683584101708893,0.4444444444444445,0.4619883040935673
future_any_drop_within_16cycles,particle_intensity,source_mean_resid_2,particle_intensity_source_mean_resid_2_minus_all_video_raw,-0.02339181286549702,0.0036968205212308813,-0.032911445468945213,0.46549707602339185,0.4888888888888889
future_any_drop_within_16cycles,video_embedding,raw,video_embedding_raw_minus_all_video_raw,-0.02690058479532159,-0.06170066495193027,-0.03784816228928699,0.4619883040935673,0.4888888888888889
future_any_drop_within_16cycles,handcrafted_particle,source_confound_filter_0.50,handcrafted_particle_source_confound_filter_0.50_minus_all_video_raw,-0.029239766081871288,-0.016318971826197237,-0.0411393068361815,0.4596491228070176,0.4888888888888889
future_any_drop_within_16cycles,particle_intensity,source_confound_filter_0.50,particle_intensity_source_confound_filter_0.50_minus_all_video_raw,-0.03157894736842104,-0.02474776935756673,-0.044430451383076025,0.45730994152046783,0.4888888888888889
future_any_drop_within_16cycles,handcrafted_particle,source_mean_resid_2,handcrafted_particle_source_mean_resid_2_minus_all_video_raw,-0.03742690058479531,-0.029233748109460778,-0.052658312750312325,0.45146198830409356,0.4888888888888889
future_any_drop_within_16cycles,video_embedding,source_mean_resid_4,video_embedding_source_mean_resid_4_minus_all_video_raw,-0.037426900584795364,-0.047842746791443846,-0.052658312750312325,0.4514619883040935,0.4888888888888889
future_any_drop_within_16cycles,video_embedding,source_mean_resid_2,video_embedding_source_mean_resid_2_minus_all_video_raw,-0.0444444444444444,-0.057105256413955696,-0.06253174639099587,0.4444444444444445,0.4888888888888889
future_any_drop_within_16cycles,particle_intensity,source_mean_resid_4,particle_intensity_source_mean_resid_4_minus_all_video_raw,-0.06315789473684214,-0.026335586051783988,-0.08886090276615206,0.42573099415204674,0.4888888888888889
future_any_drop_within_16cycles,particle_vs_context,raw,particle_vs_context_raw_minus_all_video_raw,-0.07485380116959067,-0.06964535987632803,-0.10531662550062465,0.4140350877192982,0.4888888888888889
future_any_drop_within_16cycles,video_embedding,source_confound_filter_0.50,video_embedding_source_confound_filter_0.50_minus_same_raw,-0.09473684210526317,-0.0279495488456728,-0.13329135414922808,0.3672514619883041,0.4619883040935673
future_any_drop_within_16cycles,particle_gradient,source_mean_resid_4,particle_gradient_source_mean_resid_4_minus_all_video_raw,-0.10409356725146196,-0.009561854621259802,-0.14645593233680615,0.3847953216374269,0.4888888888888889
future_any_drop_within_16cycles,video_embedding,source_confound_filter_0.50,video_embedding_source_confound_filter_0.50_minus_all_video_raw,-0.12163742690058477,-0.08965021379760307,-0.17113951643851505,0.3672514619883041,0.4888888888888889
future_any_drop_within_16cycles,handcrafted_particle,raw,handcrafted_particle_raw_minus_all_video_raw,-0.12514619883040934,-0.08264604441968804,-0.17607623325885688,0.36374269005847953,0.4888888888888889
future_any_drop_within_16cycles,particle_intensity,raw,particle_intensity_raw_minus_all_video_raw,-0.13450292397660812,-0.08745548031244188,-0.18924081144643493,0.35438596491228075,0.4888888888888889
future_any_drop_within_16cycles,particle_gradient,source_mean_resid_2,particle_gradient_source_mean_resid_2_minus_all_video_raw,-0.15789473684210525,-0.05811570117573095,-0.22215225691538013,0.3309941520467836,0.4888888888888889
future_any_drop_within_16cycles,norm_heterogeneity,source_confound_filter_0.50,norm_heterogeneity_source_confound_filter_0.50_minus_all_video_raw,-0.18245614035087715,-0.11398095662848706,-0.25670927465777266,0.3064327485380117,0.4888888888888889
future_any_drop_within_16cycles,norm_heterogeneity,raw,norm_heterogeneity_raw_minus_all_video_raw,-0.18362573099415208,-0.14080428818020907,-0.25835484693121985,0.3052631578947368,0.4888888888888889
future_any_drop_within_16cycles,particle_gradient,raw,particle_gradient_raw_minus_all_video_raw,-0.3391812865497076,-0.16244451544921945,-0.47721595929970556,0.14970760233918126,0.4888888888888889
future_any_drop_within_8cycles,particle_gradient,source_confound_filter_0.50,particle_gradient_source_confound_filter_0.50_minus_same_raw,0.37268518518518523,0.3112260121737348,0.64557194478461,0.7245370370370371,0.35185185185185186
future_any_drop_within_8cycles,particle_gradient,source_mean_resid_2,particle_gradient_source_mean_resid_2_minus_same_raw,0.33564814814814814,0.3062655437399572,0.5814157266693691,0.6875,0.35185185185185186
future_any_drop_within_8cycles,norm_heterogeneity,source_mean_resid_2,norm_heterogeneity_source_mean_resid_2_minus_same_raw,0.29166666666666674,0.14865157064056556,0.505230217657521,0.5123456790123457,0.220679012345679
future_any_drop_within_8cycles,norm_heterogeneity,source_mean_resid_4,norm_heterogeneity_source_mean_resid_4_minus_same_raw,0.17901234567901242,0.08409041132912154,0.310088387556997,0.3996913580246914,0.220679012345679
future_any_drop_within_8cycles,particle_gradient,source_mean_resid_4,particle_gradient_source_mean_resid_4_minus_same_raw,0.14969135802469136,0.1417069304575358,0.25929804821576463,0.5015432098765432,0.35185185185185186
future_any_drop_within_8cycles,all_video,source_mean_resid_2,all_video_source_mean_resid_2_minus_same_raw,0.13503086419753085,0.09319484972505632,0.23390287854514857,0.8464506172839505,0.7114197530864197
