roi_id,cycleNo,source_stem,local_cycle_index,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,x_bin,y_bin,xy_region,transferred_masked_residual_signature,validation_score_recon,radius2_slope_median_px2_per_s,diffusion_proxy_median_um2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,phase_slope_positive_fraction,threshold_robust_phase_score,threshold_robust_diffusion_score,persistence_particle_mse_fraction_of_full_mean,velocity_particle_mse_fraction_of_full_mean,mask_instability_score,node_index
cycle140_rank9_obj1,140.0,16_c2_x10_HighHighCOV_130723,4,0,1,0,842.3188405797101,78.55072463768116,low,low,low_low,0.2389476922815127,24.114277585854143,0.0003515202615055,8.099026825087033e-07,4.80707264301869e-07,0.0008538085068185,0.0,0.6111111111111112,0.0069444444444445,1.7067993054390895,1.805936813818684,2.0811128574693583,40
cycle148_rank18_obj1,148.0,17_c2_x10_HighHighCOV_150723,2,1,1,0,847.625,84.625,mid,low,mid_low,0.7480825471472065,24.36596782266628,-0.0033943874601399,-7.820668708162389e-06,-0.0034086609596471,-0.0025059541947268,1.0,0.5833333333333334,1.0069444444444446,1.2715845934782846,1.2068122955708154,1.3205521992396978,41
cycle146_rank1_obj2,146.0,17_c2_x10_HighHighCOV_150723,0,0,1,0,829.170731707317,395.0243902439024,low,mid,low_mid,3.21719464829548,23.67346169899455,-0.0011878951171184,-2.736910349840922e-06,-0.0012102672526183,-0.0006850748009394,1.0,0.5833333333333334,0.5208333333333334,1.6398650710038465,1.437948524025283,0.3847806356885294,42
cycle44_rank4_obj2,44.0,5_c2_x10_260623,9,0,1,0,1324.2823529411764,99.31764705882352,high,low,high_low,0.6286054582853854,24.701245784994107,-0.0013041982319181,-3.0048727263393567e-06,-0.0014101748807036,-0.0011087078645983,0.0,0.5694444444444444,1.0625,1.015555306187098,0.911230390130816,2.155168477362961,43
cycle147_rank3_obj1,147.0,17_c2_x10_HighHighCOV_150723,1,0,1,0,846.9375,84.625,low,low,low_low,0.6943342227566772,24.41064832763167,-0.0053246065566069,-1.2267893506422475e-05,-0.0053081212001691,-0.004255113950387,1.0,0.5555555555555556,0.8819444444444445,1.169567937228312,1.1074928958181158,2.116996198438616,44
cycle40_rank2_obj2,40.0,5_c2_x10_260623,5,0,0,0,1323.6972972972974,100.90810810810812,high,low,high_low,0.7842017555889671,24.798367448484505,-0.0006508661074446,-1.499595511552432e-06,-0.0006479573412437,-0.0002649323350044,1.0,0.5555555555555556,-0.2013888888888889,1.0890828822053256,0.9279187671552008,1.4480122617276412,45
cycle108_rank21_obj1,108.0,12_c2_x10_070723,3,1,1,0,1665.4736842105262,226.21052631578948,high,mid,high_mid,0.3455880466883458,24.57545572680972,-0.000161900485488,-3.730187185644096e-07,-0.0001720972325573,0.000225831730733,1.0,0.5416666666666667,0.3333333333333333,1.2234240956903926,1.160699843207807,0.4077253867719042,46
cycle131_rank5_obj2,131.0,15_c2_x5_HighCOV_120723,0,0,0,0,1200.05,1106.2,mid,high,mid_high,0.6026405442281145,23.84833496208426,0.000766694729194,1.7664646560630248e-06,0.0010203007176312,0.0017475727444967,1.0,0.5277777777777777,0.3472222222222222,1.6156122360542222,1.638834347786449,1.393469250608088,47
cycle154_rank16_obj2,154.0,17_c2_x10_HighHighCOV_150723,8,1,1,0,1203.1724137931035,1110.0229885057472,high,high,high_high,1.0097002411185476,24.21591877488176,0.0061058327686269,1.406783869891657e-05,0.006081243672985,0.0096598384935491,1.0,0.513888888888889,0.6875,2.479004631834703,1.9299336298784224,1.5918434391089735,48
cycle40_rank2_obj1,40.0,5_c2_x10_260623,5,0,0,0,563.8367346938776,158.77551020408163,low,mid,low_mid,0.7842017555889671,25.31408396943277,0.0019820891529404,4.56673340837489e-06,0.0015593678782454,0.0029879156766915,1.0,0.5138888888888888,0.7847222222222223,0.9456390620128164,0.8761090424593571,0.8956730753755097,49
