source_table,source_path,row_index,feature_set,method,target,split,auc,average_precision,spearman_rho,empirical_p_ge_observed,null_auc_p95,source_eta2,n_eval,leakage_penalty,control_bonus,auc_component,ap_component,rho_component,scientific_score,promotion_status
source_balanced_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_video_echem_transfer_audit/source_balanced_video_echem_metrics.csv,1,acquisition_context,,future_any_drop_within_8cycles,,1.0,1.0,0.8661089445557502,,,0.0,72.0,0.3,0.08,1.0,1.0,0.8661089445557502,1.2166,leakage_guarded
source_invariant_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_video_echem_transfer_audit/source_invariant_video_echem_metrics.csv,63,video_plus_echem,source_confound_filter_0.50,future_any_drop_within_16cycles,source_confound_filter_0.50,0.7029239766081872,0.8982738803102361,0.2855067894430996,0.0119760479041916,0.6411111111111109,0.0,72.0,0.0,0.17,0.7029239766081872,0.8982738803102361,0.2855067894430996,1.2159,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,2,pair::particle_vs_context_mean_diff_positive_fraction+particle_prior_area_fraction,raw,,raw,0.7461988304093568,0.8973404477249699,0.3463929635606482,0.0039920159680638,0.6350877192982455,0.0,72.0,0.05,0.17,0.7461988304093568,0.8973404477249699,0.3463929635606482,1.2149,promote_for_followup
echem_residual_dictionary_fusion,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_residual_dictionary_fusion_audit/echem_residual_dictionary_metrics.csv,3,handcrafted_scalar,,future_any_drop_within_8cycles,,0.8287037037037037,0.8758981267108407,0.5693864357727617,0.0019960079840319,0.6212191358024691,0.0,72.0,0.12,0.14,0.8287037037037037,0.8758981267108407,0.5693864357727617,1.2122,promote_for_followup
acquisition_residualized_video_echem,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/acquisition_residualized_video_echem_warning/acquisition_residualized_video_echem_metrics.csv,31,video_plus_echem,,future_any_drop_within_16cycles,cycleNo,0.7520467836257311,0.9277519632406904,0.3546208249278846,0.0019960079840319,0.639766081871345,0.0,72.0,0.04,0.14,0.7520467836257311,0.9277519632406904,0.3546208249278846,1.2122,promote_for_followup
echem_conditioned_residual_dictionary,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_conditioned_residual_dictionary/echem_conditioned_residual_dictionary_metrics.csv,2,handcrafted_plus_echem_context,leave_cycle,future_any_drop_within_16cycles,leave_cycle,0.8210526315789473,0.9558905832389312,0.451709589061273,,,0.0,72.0,0.04,0.05,0.8210526315789473,0.9558905832389312,0.451709589061273,1.2108,promote_for_followup
source_invariant_physical_family,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_physical_family_audit/source_invariant_family_metrics.csv,33,source_mean_resid_2,source_mean_resid_2,future_any_drop_within_16cycles,source_mean_resid_2,0.6526315789473685,0.891741892203917,0.2147471816848674,0.0319361277445109,0.6351461988304093,0.0,72.0,0.0,0.22,0.6526315789473685,0.891741892203917,0.2147471816848674,1.2062,promote_for_followup
source_invariant_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_video_echem_transfer_audit/source_invariant_video_echem_metrics.csv,58,video_plus_echem,source_mean_resid_2,future_any_drop_within_16cycles,source_mean_resid_2,0.6561403508771929,0.8801170655001772,0.2196838985052092,0.0319361277445109,0.6433333333333332,0.0,72.0,0.0,0.22,0.6561403508771929,0.8801170655001772,0.2196838985052092,1.2061,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,20,single::particle_std_diff_positive_fraction,source_confound_filter_0.50,,source_confound_filter_0.50,0.6929824561403508,0.8984223837907739,0.2718036311376925,0.0099800399201596,0.6362573099415205,0.0,72.0,0.0,0.17,0.6929824561403508,0.8984223837907739,0.2718036311376925,1.2046,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,17,trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_mean_slope,source_confound_filter_0.50,,source_confound_filter_0.50,0.6935672514619883,0.868754624339438,0.2723509692254321,0.0159680638722554,0.6452923976608185,0.0,72.0,0.0,0.17,0.6935672514619883,0.868754624339438,0.2723509692254321,1.1949,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,18,trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_last_minus_first+particle_norm_mean,source_confound_filter_0.50,,source_confound_filter_0.50,0.6935672514619883,0.8687418355718417,0.2723422112555216,0.0139720558882235,0.6467836257309941,0.0,72.0,0.0,0.17,0.6935672514619883,0.8687418355718417,0.2723422112555216,1.1949,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,3,single::particle_vs_context_mean_diff_positive_fraction,raw,,raw,0.7274853801169591,0.8796559875996621,0.320311103963499,0.0079840319361277,0.6363157894736841,0.0,72.0,0.05,0.17,0.7274853801169591,0.8796559875996621,0.320311103963499,1.1874,promote_for_followup
echem_video_embedding_fusion,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_video_embedding_fusion_audit/echem_video_embedding_fusion_metrics.csv,0,acquisition_context,,future_any_drop_within_8cycles,,1.0,1.0,0.8661089445557502,0.0009990009990009,0.6050154320987654,0.0,72.0,0.34,0.09,1.0,1.0,0.8661089445557502,1.1866,leakage_guarded
source_invariant_physical_family,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_physical_family_audit/source_invariant_family_metrics.csv,22,source_mean_resid_4,source_mean_resid_4,future_any_drop_within_8cycles,source_mean_resid_4,0.7901234567901234,0.831656401399212,0.5025570419027192,,,0.0,72.0,0.08,0.13,0.7901234567901234,0.831656401399212,0.5025570419027192,1.1815,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,14,trio::particle_vs_context_mean_diff_positive_fraction+particle_std_diff_positive_fraction+particle_gradient_diff_abs_mean,raw,,raw,0.7122807017543858,0.904593630373698,0.2986713676306777,0.0059880239520958,0.624561403508772,0.0,72.0,0.05,0.17,0.7122807017543858,0.904593630373698,0.2986713676306777,1.1788,promote_for_followup
signed_loss_source_robustness,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/signed_loss_source_robustness_audit/signed_loss_source_robustness_metrics.csv,0,combined_loss_mechanism_axis,raw,future_any_drop_within_16cycles,,0.9894736842105264,0.9973646379086096,0.6886719964376784,,,0.5562903793484213,72.0,0.2291,0.0,0.9894736842105264,0.9973646379086096,0.6886719964376784,1.1783,candidate
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,29,trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_gradient_diff_q90,source_confound_filter_0.50,,source_confound_filter_0.50,0.6736842105263158,0.8819129823293854,0.2443674826069181,0.0199600798403193,0.6304093567251462,0.0,72.0,0.0,0.17,0.6736842105263158,0.8819129823293854,0.2443674826069181,1.1768,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,15,trio::particle_vs_context_mean_diff_positive_fraction+particle_std_diff_positive_fraction+particle_gradient_diff_q90,raw,,raw,0.711111111111111,0.9003349755458367,0.2970257953572305,0.0079840319361277,0.6258479532163742,0.0,72.0,0.05,0.17,0.711111111111111,0.9003349755458367,0.2970257953572305,1.1759,promote_for_followup
source_invariant_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_video_echem_transfer_audit/source_invariant_video_echem_metrics.csv,25,video_plus_echem,source_mean_resid_1,future_any_drop_within_8cycles,source_mean_resid_1,0.7839506172839505,0.8319852340543643,0.4918643388835124,,,0.0,72.0,0.08,0.13,0.7839506172839505,0.8319852340543643,0.4918643388835124,1.1743,promote_for_followup
acquisition_residualized_video_physics,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/acquisition_residualized_video_physics_benchmark/acquisition_residualized_metrics.csv,22,handcrafted_particle_raw,,future_any_drop_within_16cycles,,0.7964912280701755,0.930608676225572,0.4171525713188804,,,0.0,72.0,0.04,0.05,0.7964912280701755,0.930608676225572,0.4171525713188804,1.1739,promote_for_followup
acquisition_residualized_video_physics,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/acquisition_residualized_video_physics_benchmark/acquisition_residualized_metrics.csv,29,echem_context_plus_all_video,,future_any_drop_within_16cycles,,0.7918128654970761,0.9418306401406732,0.4105702822250914,,,0.0,72.0,0.04,0.05,0.7918128654970761,0.9418306401406732,0.4105702822250914,1.1725,promote_for_followup
source_invariant_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_video_echem_transfer_audit/source_invariant_video_echem_metrics.csv,17,video_all,source_mean_resid_1,future_any_drop_within_8cycles,source_mean_resid_1,0.779320987654321,0.8374972448784632,0.4838448116191073,,,0.0,72.0,0.08,0.13,0.779320987654321,0.8374972448784632,0.4838448116191073,1.1708,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,23,trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_norm_mean,source_confound_filter_0.50,,source_confound_filter_0.50,0.6748538011695906,0.8602427606711736,0.2460466830837199,0.0259481037924151,0.6473976608187134,0.0,72.0,0.0,0.17,0.6748538011695906,0.8602427606711736,0.2460466830837199,1.1705,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,24,trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_gradient_std,source_confound_filter_0.50,,source_confound_filter_0.50,0.6748538011695906,0.8602427606711736,0.2460466830837199,0.0259481037924151,0.6473976608187134,0.0,72.0,0.0,0.17,0.6748538011695906,0.8602427606711736,0.2460466830837199,1.1705,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,25,trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_gradient_diff_q90,source_confound_filter_0.50,,source_confound_filter_0.50,0.6748538011695906,0.8602427606711736,0.2460466830837199,0.0259481037924151,0.6473976608187134,0.0,72.0,0.0,0.17,0.6748538011695906,0.8602427606711736,0.2460466830837199,1.1705,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,26,trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_diff_positive_fraction+particle_gradient_diff_abs_mean,source_confound_filter_0.50,,source_confound_filter_0.50,0.6748538011695906,0.8602427606711736,0.2460466830837199,0.0259481037924151,0.6473976608187134,0.0,72.0,0.0,0.17,0.6748538011695906,0.8602427606711736,0.2460466830837199,1.1705,promote_for_followup
source_invariant_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_video_echem_transfer_audit/source_invariant_video_echem_metrics.csv,0,acquisition_context,raw,future_any_drop_within_8cycles,raw,1.0,1.0,0.8661089445557502,,,0.0,72.0,0.35,0.08,1.0,1.0,0.8661089445557502,1.1666,leakage_guarded
echem_video_embedding_fusion,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/echem_video_embedding_fusion_audit/echem_video_embedding_fusion_metrics.csv,12,video_plus_echem,,future_any_drop_within_16cycles,,0.7543859649122807,0.9262299101940934,0.3579119694747791,0.0019980019980019,0.6444444444444444,0.0,72.0,0.04,0.09,0.7543859649122807,0.9262299101940934,0.3579119694747791,1.1644,promote_for_followup
