roi_id,cycleNo,cohort_role,event_reference_cycle,source_stem,object_x_full_approx,object_y_full_approx,n_frames_percentile,V_mean,I_mean_mA,front_quality_score,degradation_mode_hypothesis,mode_label,mode_review_priority,mode_pc1,mode_pc2,rollout_mobility_difficulty_score,phase_slope_positive_fraction_protocol_residual,phase_slope_median_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,is_event_roi,is_event_enriched_mode,front_positive_residual_binary,xy_region
cycle116_rank7_obj37,116.0,event,116.0,13_c2_x6_100723,1255.090909090909,900.2727272727273,0.0112359550561797,3.903938643271297,0.0070410067032469,1.32518717317117,synchronized_persistent_drop_low_frame_count,optical_brightening_decorrelating_rollout_hard_front_positive,1.6153846153846152,1.2548710171165738,-0.2009464097107419,1.846153846153846,0.0026455239053564,8.807194100396206e-07,0.0403670386490317,2.449019551320061e-06,1,1,1,2_2
cycle116_rank8_obj20,116.0,event,116.0,13_c2_x6_100723,88.47058823529412,1086.1176470588234,0.0112359550561797,3.903938643271297,0.0070410067032469,1.0844116535413544,synchronized_persistent_drop_low_frame_count,front_negative_high_apparent_front_proxy,0.5,-1.8985584067552184,-1.005958084929707,0.3461538461538461,0.0026455239053564,-1.9830517422007224e-06,-0.1134791151971219,3.4259661159889558e-06,1,0,1,0_3
cycle118_rank4_obj1,118.0,control,116.0,13_c2_x6_100723,586.0,232.0,0.0786516853932584,3.907195405317094,0.0171682831328283,1.1051828859084512,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.9615384615384616,-0.4832399339394242,0.6039863351827399,0.8653846153846154,-0.0045616643801136,-1.023234924882891e-06,0.0300238180300495,-1.0246332137107062e-06,0,0,0,1_0
cycle118_rank1_obj7,118.0,control,116.0,13_c2_x6_100723,1196.1739130434785,1087.304347826087,0.0786516853932584,3.907195405317094,0.0171682831328283,0.5779761010946141,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.625,0.097210472743928,0.9713181011942646,0.9423076923076924,-0.0045616643801136,3.371550227898773e-07,0.164639202645434,-1.726882028665113e-06,0,0,0,2_3
cycle118_rank2_obj2,118.0,control,116.0,13_c2_x6_100723,1350.108527131783,177.95348837209303,0.0786516853932584,3.907195405317094,0.0171682831328283,0.5518909744846521,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.673076923076923,-1.0984716630170817,1.0269922087053711,-5.551115123125783e-17,-0.0045616643801136,-1.6448342985673448e-06,0.1261776641838955,-1.7635440270282522e-06,0,0,0,3_0
cycle118_rank3_obj9,118.0,control,116.0,13_c2_x6_100723,820.2424242424242,379.8787878787879,0.0786516853932584,3.907195405317094,0.0171682831328283,0.6340187053993103,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.903846153846154,0.1668903988545169,0.5494888524929952,1.1730769230769231,-0.0045616643801136,1.5021399329445662e-06,-0.0661300281237966,-2.700998806538509e-06,0,0,0,1_1
cycle156_rank1_obj1,156.0,event,156.0,18_c2_xN_HighHighCOV_170723,1345.2307692307693,131.8041958041958,0.9101123595505618,,,1.5087951450912631,single_persistent_drop_needs_roi_qc,optical_loss_rollout_hard,2.875,-4.962780230377123,0.388048243828828,1.826923076923077,0.0296361115027952,-9.443819639861934e-07,0.0943535550746859,1.6447021567792111e-06,1,0,1,3_0
cycle156_rank6_obj3,156.0,event,156.0,18_c2_xN_HighHighCOV_170723,1669.981981981982,145.04504504504504,0.9101123595505618,,,1.4367926892737708,single_persistent_drop_needs_roi_qc,optical_loss_rollout_hard,2.798076923076924,-1.81939479535445,0.7055446268263769,2.0576923076923075,0.0296361115027952,-5.470328224704716e-07,0.2866612473823782,-1.277299059595353e-06,1,0,1,3_0
cycle156_rank8_obj10,156.0,event,156.0,18_c2_xN_HighHighCOV_170723,1248.1333333333334,1131.8666666666666,0.9101123595505618,,,1.5796474218170364,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,2.2403846153846154,0.848814899229579,-0.7008856561147259,2.519230769230769,0.0296361115027952,-6.069117570902711e-08,-0.2518002910791604,5.819641498192576e-07,1,1,1,2_3
cycle156_rank2_obj2,156.0,event,156.0,18_c2_xN_HighHighCOV_170723,1201.4545454545455,1053.7662337662337,0.9101123595505618,,,1.2118362385241466,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,2.5673076923076925,3.7278616654849457,0.3608366450153696,2.865384615384616,0.0296361115027952,1.1207058970934851e-06,0.113584324305455,4.571821490626747e-07,1,1,1,2_3
cycle156_rank5_obj4,156.0,event,156.0,18_c2_xN_HighHighCOV_170723,817.5632183908046,333.5632183908046,0.9101123595505618,,,1.3097972948929866,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,2.932692307692308,4.496937670746598,0.1008767360307333,3.0384615384615383,0.0296361115027952,1.1694176486761676e-06,0.0174304781516089,-9.442528927093386e-07,1,1,1,1_0
cycle156_rank7_obj27,156.0,event,156.0,18_c2_xN_HighHighCOV_170723,1249.4246575342463,859.6164383561644,0.9101123595505618,,,1.6668088838929638,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,3.2596153846153846,3.8522279738934446,-1.6513439392838487,3.019230769230769,0.0296361115027952,-2.30406095250893e-07,0.0366612473823781,-1.5908840057147065e-07,1,1,1,2_2
cycle157_rank1_obj1,157.0,control,156.0,18_c2_xN_HighHighCOV_170723,1346.1146496815286,126.62420382165604,0.7696629213483146,,,0.9462923571539248,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,2.3461538461538463,-0.3383619116843848,1.941638759824525,0.9423076923076924,-0.0888448999578106,6.943482596233164e-08,0.1495271325281373,-3.892970487315262e-07,0,0,0,3_0
cycle157_rank4_obj8,157.0,control,156.0,18_c2_xN_HighHighCOV_170723,579.5471698113207,178.9433962264151,0.7696629213483146,,,0.8642722258468417,single_persistent_drop_needs_roi_qc,optical_loss_rollout_hard,2.7211538461538463,-0.9484181215712798,-0.7246022652732137,1.6730769230769231,-0.0888448999578106,3.036494398978865e-08,-0.0427805597795549,-3.248820112652847e-07,0,0,0,1_0
cycle157_rank2_obj2,157.0,control,156.0,18_c2_xN_HighHighCOV_170723,1195.9157894736843,1049.3473684210526,0.7696629213483146,,,0.6756360226257907,single_persistent_drop_needs_roi_qc,optical_loss_rollout_hard,3.105769230769231,-2.3734517638755155,-2.90035978798012,1.8846153846153844,-0.0888448999578106,-8.039591835434622e-07,-0.1004728674718626,3.112057966509353e-07,0,0,0,2_3
cycle157_rank6_obj3,157.0,control,156.0,18_c2_xN_HighHighCOV_170723,1670.5882352941176,144.57142857142858,0.7696629213483146,,,0.7929458469284842,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,2.25,-0.9713182829959232,1.226842363170258,1.2884615384615383,-0.0888448999578106,-3.100589910819958e-07,0.207219440220445,-1.513507770645609e-06,0,0,0,3_0
cycle158_rank6_obj3,158.0,control,156.0,18_c2_xN_HighHighCOV_170723,1670.0884955752213,145.4513274336283,0.7696629213483146,,,1.5361833653905674,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,2.2884615384615383,0.3285864019097271,0.5130963972711302,1.6153846153846154,0.1158999767148418,8.361202333218058e-08,0.0509899866240903,-1.6898866531743606e-07,0,0,1,3_0
cycle158_rank1_obj2,158.0,control,156.0,18_c2_xN_HighHighCOV_170723,1345.6046511627908,128.41860465116278,0.7696629213483146,,,0.8210227064111154,single_persistent_drop_needs_roi_qc,front_negative_high_apparent_front_proxy,1.875,-1.8481000452597487,-1.3909527697367026,1.0769230769230769,-0.1698143089994438,-1.5459942103742878e-07,-0.6701638595297558,1.113273871681785e-06,0,0,0,3_0
cycle158_rank4_obj8,158.0,control,156.0,18_c2_xN_HighHighCOV_170723,581.010101010101,179.07070707070707,0.7696629213483146,,,1.010899066972006,single_persistent_drop_needs_roi_qc,near_baseline_or_context_like,2.0576923076923075,0.5116238128413725,0.2979797761528127,1.3653846153846154,0.1158999767148418,-7.090031845489618e-08,0.0894515250856287,6.988302334812708e-07,0,0,1,1_0
cycle158_rank2_obj1,158.0,control,156.0,18_c2_xN_HighHighCOV_170723,1196.9032258064517,1048.9032258064517,0.7696629213483146,,,0.7788033639340246,single_persistent_drop_needs_roi_qc,optical_brightening_decorrelating_rollout_hard_front_positive,2.25,2.5971879008884744,1.0239960694970098,1.6346153846153846,0.1158999767148418,6.497388865550407e-07,0.1663746020087057,-1.524340203826247e-06,0,1,1,2_3
