cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mask_base_area_fraction,mask_area_fraction_median,mask_area_fraction_iqr,mask_area_fraction_slope,mask_centroid_path_px,mask_centroid_max_step_px,mask_centroid_drift_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,front_radius_q60_median_px,front_radius_q60_delta_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_median_px,front_radius_q70_delta_px,front_radius_q70_slope_px_per_norm_time,front_radius_q80_median_px,front_radius_q80_delta_px,front_radius_q80_slope_px_per_norm_time,front_radius_q70_positive_step_fraction,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,roi_norm_mean_delta_last_minus_first,object_area_ds_px,object_mean_residual,object_mean_abs_z
78.0,9_c2_x10_010723,2,1.0,1.0,0.2712131076388889,0.2517632378472222,0.00792100694444442,-0.009958029066437581,7.4732731911208745,0.17521682515369502,0.6035028941064176,0.15574218798428774,0.013054914806114964,7.0,0.0,0.03608247422680416,6.0,0.0,,5.0,0.5,0.6043814432989694,0.0,4.0,-0.01900773195876282,,,0.0006552785634993999,97.0,8036.08447265625,20.34675407409668
80.0,9_c2_x10_010723,2,1.0,1.0,0.2733832465277778,0.24896918402777776,0.013929578993055539,-0.005946278435531218,7.353935639197408,0.3602940396034992,0.7925572974655659,0.15508743561804295,0.010986617265854842,6.0,2.5,3.476159793814434,5.5,0.5,1.417525773195877,5.0,0.0,0.0032216494845360845,0.010526315789473684,5.0,-0.3730670103092785,15.592783505154644,0.5748123711340213,0.0005198307335377,108.0,7615.18603515625,19.72565460205078
82.0,9_c2_x10_010723,2,1.0,1.0,0.2728407118055556,0.2558051215277778,0.007609049479166657,-0.008324447229828898,10.331719644849548,1.0246103497090118,0.4059862242162982,0.15531288366764784,0.009516048173122488,7.5,1.5,1.3469716494845365,7.0,1.0,2.3073453608247427,5.5,1.0,0.4284793814432991,0.031578947368421054,4.0,-0.6626932989690727,33.661726804123724,1.2409058969072164,0.0005519576370715953,73.0,10404.57958984375,24.77930736541748
84.0,9_c2_x10_010723,2,1.0,1.0,0.27392578125,0.25558810763888884,0.008680555555555539,-0.006284523665700172,10.917723983902883,0.6532118659919128,0.3009908748251766,0.15205858927220106,0.005997191416099671,7.0,1.5,2.270618556701032,6.0,1.0,0.4168814432989692,5.0,0.0,,0.010526315789473684,5.0,0.46005154639175283,5.778994845360827,0.21303686597938148,-0.00012809038162227724,97.5,8292.018798828125,20.897911071777344
88.0,10_c2_x10_030723,2,0.0,0.0,0.2626410590277778,0.2373318142361111,0.009412977430555552,0.016490328899090776,8.836692122084875,0.40428359427134747,0.10311321144794315,0.1520235063508153,-0.007281953910576929,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,5.5,0.44716494845360844,,,-5.193054676049999e-06,37.5,12144.38720703125,30.15721035003662
90.0,10_c2_x10_030723,2,0.0,0.0,0.24940321180555555,0.2307400173611111,0.002739800347222196,0.005342289071449026,11.014152287065032,0.30897433174793193,0.24823500609948862,0.14810476079583168,-0.0005898489760830232,11.5,0.0,,11.0,-0.5,-0.34793814432989706,11.0,0.0,-0.13724226804123715,0.0,7.0,0.23840206185567064,-12.177835051546397,-0.4489237113402054,-0.0005455762147903,50.0,10127.67529296875,26.183040618896484
92.0,10_c2_x10_030723,2,0.0,0.0,0.2615017361111111,0.24495442708333331,0.002658420138888881,0.002264418279728669,8.073900646371628,0.2122881158914334,0.04642744809535958,0.147204271517694,0.002439406206567302,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,5.5,,,,-0.00048726424574845,36.0,12403.69580078125,31.88889980316162
94.0,10_c2_x10_030723,2,0.0,0.0,0.2475043402777778,0.22900390625,0.004041883680555539,0.0059554022475479685,10.548288729864362,0.2854386559332354,0.38384285885849084,0.14860597532242537,1.5458572156652264e-05,11.0,-0.5,-0.5019329896907219,11.0,0.0,-1.3318298969072169,10.5,0.0,,0.005263157894736842,6.5,-0.9039948453608252,-43.95038659793816,-1.6201870515463939,-0.00057936087250705,42.5,11879.3203125,29.906248092651367
96.0,11_c2_x10_050723,2,0.0,0.0,0.24647352430555555,0.22767469618055555,0.009385850694444434,-0.011279268909292671,9.262627737598454,0.25442354721519495,0.23742586751194172,0.13992619793862104,0.00889301466390721,8.0,0.0,,7.0,0.0,0.21069587628866027,5.5,1.5,2.5818298969072178,0.031578947368421054,9.0,0.6024484536082476,4.163015463917528,0.15346540206185574,-9.183585643764865e-05,78.5,10847.119873046875,24.708766937255863
98.0,11_c2_x10_050723,2,0.0,0.0,0.2431640625,0.22542317708333331,0.00439453125,0.007392000633143618,8.362810485080438,0.2739833814052602,0.24155431645214653,0.14047117438167334,0.0010106202656614404,8.0,0.0,-0.026417525773195883,7.5,0.0,-0.002577319587628865,6.5,0.0,0.023840206185567026,0.005263157894736842,9.0,4.1108247422680435,-0.048969072164948425,-0.00180519587628866,0.0007366351783274999,72.5,11009.9677734375,25.36744785308838
