cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,cohort_role,selection_subrole,event_reference_cycle,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,balanced_cycle_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
152.0,17_c2_x10_HighHighCOV_150723,6,15,2,24.14244513883759,balanced_future_roi_candidate,future8_positive,high_warning_positive,152.0,1198.936170212766,1104.6808510638298,299.7340425531915,276.17021276595744,94,7259.271484375,19.417682647705078,15,1.1876601241161993,1,1,0,7426,8663,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_152_rank15_17_c2_x10_HighHighCOV_150723_local6.png
154.0,17_c2_x10_HighHighCOV_150723,8,16,3,25.695102384455744,balanced_future_roi_candidate,future8_positive,high_warning_positive,154.0,1644.0,126.37837837837837,411.0,31.594594594594593,37,11474.6845703125,28.710601806640625,16,1.0097002411185476,1,1,0,9901,11139,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_154_rank16_17_c2_x10_HighHighCOV_150723_local8.png
154.0,17_c2_x10_HighHighCOV_150723,8,16,1,25.202334518600047,balanced_future_roi_candidate,future8_positive,high_warning_positive,154.0,845.1724137931035,83.17241379310344,211.29310344827587,20.79310344827586,58,9977.4794921875,25.08557891845703,16,1.0097002411185476,1,1,0,9901,11139,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_154_rank16_17_c2_x10_HighHighCOV_150723_local8.png
154.0,17_c2_x10_HighHighCOV_150723,8,16,2,24.215918774881757,balanced_future_roi_candidate,future8_positive,high_warning_positive,154.0,1203.1724137931035,1110.0229885057472,300.7931034482759,277.5057471264368,87,7686.73583984375,20.11772918701172,16,1.0097002411185476,1,1,0,9901,11139,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_154_rank16_17_c2_x10_HighHighCOV_150723_local8.png
153.0,17_c2_x10_HighHighCOV_150723,7,17,3,24.82314848487546,balanced_future_roi_candidate,future8_positive,high_warning_positive,153.0,1348.1869158878505,186.6355140186916,337.04672897196264,46.6588785046729,214,3723.540771484375,14.271251678466797,17,0.8710369083836372,1,1,0,8663,9901,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_153_rank17_17_c2_x10_HighHighCOV_150723_local7.png
153.0,17_c2_x10_HighHighCOV_150723,7,17,1,24.667467087883093,balanced_future_roi_candidate,future8_positive,high_warning_positive,153.0,844.375,82.625,211.09375,20.65625,64,8778.7138671875,23.28520393371582,17,0.8710369083836372,1,1,0,8663,9901,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_153_rank17_17_c2_x10_HighHighCOV_150723_local7.png
153.0,17_c2_x10_HighHighCOV_150723,7,17,2,23.96037215290537,balanced_future_roi_candidate,future8_positive,high_warning_positive,153.0,1199.3877551020407,1106.6938775510205,299.8469387755102,276.6734693877551,98,7020.06103515625,18.71480941772461,17,0.8710369083836372,1,1,0,8663,9901,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_153_rank17_17_c2_x10_HighHighCOV_150723_local7.png
148.0,17_c2_x10_HighHighCOV_150723,2,18,1,24.365967822666278,balanced_future_roi_candidate,future8_positive,high_warning_positive,148.0,847.625,84.625,211.90625,21.15625,64,8170.9912109375,22.64679718017578,18,0.7480825471472065,1,1,0,2475,3713,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_148_rank18_17_c2_x10_HighHighCOV_150723_local2.png
148.0,17_c2_x10_HighHighCOV_150723,2,18,2,23.85521823534402,balanced_future_roi_candidate,future8_positive,high_warning_positive,148.0,825.6,397.3176470588235,206.4,99.32941176470588,85,7041.38525390625,19.579477310180664,18,0.7480825471472065,1,1,0,2475,3713,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_148_rank18_17_c2_x10_HighHighCOV_150723_local2.png
148.0,17_c2_x10_HighHighCOV_150723,2,18,3,23.585572593335268,balanced_future_roi_candidate,future8_positive,high_warning_positive,148.0,1201.1089108910892,1100.990099009901,300.2772277227723,275.2475247524753,101,6349.900390625,17.71686363220215,18,0.7480825471472065,1,1,0,2475,3713,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_148_rank18_17_c2_x10_HighHighCOV_150723_local2.png
