target,rule,echem_quantile,optical_quantile,n_eval,n_covered,n_covered_positive,precision,recall,base_rate,lift,binary_auc,fisher_p_greater,n_sources_with_hits,n_sources_with_positive_hits
future_any_drop_within_16cycles,optical_ge_q60,0.5,0.6,72,29,26,0.896551724137931,0.45614035087719296,0.7916666666666666,1.1324863883847551,0.6280701754385966,0.06345752459085446,8,6
future_any_drop_within_16cycles,optical_ge_q60,0.6,0.6,72,29,26,0.896551724137931,0.45614035087719296,0.7916666666666666,1.1324863883847551,0.6280701754385966,0.06345752459085446,8,6
future_any_drop_within_16cycles,optical_ge_q60,0.7,0.6,72,29,26,0.896551724137931,0.45614035087719296,0.7916666666666666,1.1324863883847551,0.6280701754385966,0.06345752459085446,8,6
future_any_drop_within_16cycles,optical_ge_q60,0.75,0.6,72,29,26,0.896551724137931,0.45614035087719296,0.7916666666666666,1.1324863883847551,0.6280701754385966,0.06345752459085446,8,6
future_any_drop_within_16cycles,echem_ge_q60_OR_optical_ge_q50,0.6,0.5,72,52,44,0.8461538461538461,0.7719298245614035,0.7916666666666666,1.0688259109311742,0.619298245614035,0.068490433877418,9,6
future_any_drop_within_16cycles,echem_ge_q70_OR_optical_ge_q60,0.7,0.6,72,43,37,0.8604651162790697,0.6491228070175439,0.7916666666666666,1.086903304773562,0.6245614035087719,0.07383388244069339,9,6
future_any_drop_within_16cycles,echem_ge_q50_AND_optical_ge_q70,0.5,0.7,72,10,10,1.0,0.17543859649122806,0.7916666666666666,1.2631578947368423,0.5877192982456141,0.0805334929760262,2,2
future_any_drop_within_16cycles,echem_ge_q60_AND_optical_ge_q60,0.6,0.6,72,10,10,1.0,0.17543859649122806,0.7916666666666666,1.2631578947368423,0.5877192982456141,0.0805334929760262,2,2
future_any_drop_within_16cycles,echem_ge_q70_AND_optical_ge_q60,0.7,0.6,72,10,10,1.0,0.17543859649122806,0.7916666666666666,1.2631578947368423,0.5877192982456141,0.0805334929760262,2,2
future_any_drop_within_16cycles,echem_ge_q50_AND_optical_ge_q75,0.5,0.75,72,9,9,1.0,0.15789473684210525,0.7916666666666666,1.2631578947368423,0.5789473684210527,0.10570020953103436,2,2
future_any_drop_within_16cycles,echem_ge_q60_AND_optical_ge_q70,0.6,0.7,72,9,9,1.0,0.15789473684210525,0.7916666666666666,1.2631578947368423,0.5789473684210527,0.10570020953103436,2,2
future_any_drop_within_16cycles,echem_ge_q70_AND_optical_ge_q70,0.7,0.7,72,9,9,1.0,0.15789473684210525,0.7916666666666666,1.2631578947368423,0.5789473684210527,0.10570020953103436,2,2
future_any_drop_within_16cycles,echem_ge_q75_AND_optical_ge_q60,0.75,0.6,72,9,9,1.0,0.15789473684210525,0.7916666666666666,1.2631578947368423,0.5789473684210527,0.10570020953103436,2,2
future_any_drop_within_16cycles,optical_ge_q50,0.5,0.5,72,36,31,0.8611111111111112,0.543859649122807,0.7916666666666666,1.087719298245614,0.605263157894737,0.12268065447686802,8,6
future_any_drop_within_16cycles,optical_ge_q50,0.6,0.5,72,36,31,0.8611111111111112,0.543859649122807,0.7916666666666666,1.087719298245614,0.605263157894737,0.12268065447686802,8,6
future_any_drop_within_16cycles,optical_ge_q50,0.7,0.5,72,36,31,0.8611111111111112,0.543859649122807,0.7916666666666666,1.087719298245614,0.605263157894737,0.12268065447686802,8,6
future_any_drop_within_16cycles,optical_ge_q50,0.75,0.5,72,36,31,0.8611111111111112,0.543859649122807,0.7916666666666666,1.087719298245614,0.605263157894737,0.12268065447686802,8,6
future_any_drop_within_16cycles,echem_ge_q60_AND_optical_ge_q75,0.6,0.75,72,8,8,1.0,0.14035087719298245,0.7916666666666666,1.2631578947368423,0.5701754385964912,0.13805741653033063,2,2
future_any_drop_within_16cycles,echem_ge_q70_AND_optical_ge_q75,0.7,0.75,72,8,8,1.0,0.14035087719298245,0.7916666666666666,1.2631578947368423,0.5701754385964912,0.13805741653033063,2,2
future_any_drop_within_16cycles,echem_ge_q75_AND_optical_ge_q70,0.75,0.7,72,8,8,1.0,0.14035087719298245,0.7916666666666666,1.2631578947368423,0.5701754385964912,0.13805741653033063,2,2
future_any_drop_within_16cycles,echem_ge_q75_AND_optical_ge_q75,0.75,0.75,72,8,8,1.0,0.14035087719298245,0.7916666666666666,1.2631578947368423,0.5701754385964912,0.13805741653033063,2,2
future_any_drop_within_16cycles,echem_ge_q70,0.7,0.5,72,24,21,0.875,0.3684210526315789,0.7916666666666666,1.105263157894737,0.5842105263157895,0.1790865393239851,3,2
future_any_drop_within_16cycles,echem_ge_q70,0.7,0.6,72,24,21,0.875,0.3684210526315789,0.7916666666666666,1.105263157894737,0.5842105263157895,0.1790865393239851,3,2
future_any_drop_within_16cycles,echem_ge_q70,0.7,0.7,72,24,21,0.875,0.3684210526315789,0.7916666666666666,1.105263157894737,0.5842105263157895,0.1790865393239851,3,2
future_any_drop_within_16cycles,echem_ge_q70,0.7,0.75,72,24,21,0.875,0.3684210526315789,0.7916666666666666,1.105263157894737,0.5842105263157895,0.1790865393239851,3,2
future_any_drop_within_16cycles,echem_ge_q70_OR_optical_ge_q50,0.7,0.5,72,47,39,0.8297872340425532,0.6842105263157895,0.7916666666666666,1.0481522956326987,0.5754385964912281,0.21378389360181663,9,6
