feature_set,transform,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,permutation
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.42013888888888884,0.45040201297873095,-0.1383310071343964,0.1789229546501606,113
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5347222222222222,0.562036911729453,0.06014391614538972,0.5605023044011868,114
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3893229166666667,0.41659219978603135,-0.19170873271342975,0.06132510626811899,115
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5082465277777778,0.5146244017436654,0.01428418008453006,0.8901380811939449,116
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.544704861111111,0.6060039731038696,0.07743529203718927,0.4533172816156899,117
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3754340277777778,0.4641727428225619,-0.21576629917158563,0.03474539655966142,118
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5568576388888888,0.5407520400844106,0.09848566268807568,0.3397590924375368,119
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5824652777777777,0.5773940080158526,0.14284180084530063,0.16502890124309497,120
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3984375,0.48742708415800146,-0.17592095472526495,0.0864395857406444,121
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5629340277777778,0.5420950551630687,0.10901084801351887,0.2903988995156784,122
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.35373263888888884,0.4097650421811507,-0.2533562467624542,0.012751494579726805,123
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3111979166666667,0.3852435663353672,-0.32703254404055665,0.0011451866818703946,124
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3758680555555555,0.4471953348969777,-0.21501450021976828,0.035397696455718934,125
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.34765624999999994,0.41232511746569495,-0.26388143208789744,0.009380947027185128,126
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4826388888888889,0.5386022457206163,-0.03007195807269486,0.7711661151309266,127
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5091145833333334,0.5626227970137369,0.015787777988164803,0.878657603806071,128
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4301215277777778,0.4596167607370318,-0.12103963124259683,0.24010239110074358,129
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4249131944444444,0.4412384309456133,-0.1300612186644053,0.2065842361708895,130
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6818576388888888,0.6778201723429702,0.3150037608114787,0.0017723109041948729,131
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.453125,0.4758650077556283,-0.08119428679627613,0.4316233595252808,132
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.24999999999999997,0.370043508953462,-0.43303619624680606,1.0497439318734084e-05,133
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4375,0.48300402492278427,-0.10825904906170151,0.29375845998031974,134
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5629340277777777,0.5495553953452117,0.10901084801351887,0.2903988995156784,135
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.572048611111111,0.5335109521694327,0.12479862600168369,0.22570501749333577,136
