heldout_event_reference_cycle,method,alpha,target_coverage,group,n,global_quantile,local_quantile,coverage_global,coverage_local,mean_excess_over_global,mean_excess_over_local,median_error
86.0,persistence,0.05,0.95,all,448,0.0122929196804761,0.0122929196804761,0.9821428571428571,0.9821428571428571,9.138351015280982e-05,9.138351015280982e-05,0.0070443723816424
86.0,persistence,0.05,0.95,near_transition,128,0.0122929196804761,0.0118614714592695,0.96875,0.96875,0.00012096658610971718,0.00013444934302242345,0.007117491215467399
86.0,persistence,0.05,0.95,far_from_transition,320,0.0122929196804761,0.0124805616214871,0.9875,0.9875,7.955027977004687e-05,7.720475550740936e-05,0.00698588625527915
86.0,persistence,0.05,0.95,event_roi,192,0.0122929196804761,0.0122929196804761,0.9791666666666666,0.9791666666666666,8.064439073981145e-05,8.064439073981145e-05,0.0070671977009624
86.0,persistence,0.05,0.95,control_roi,256,0.0122929196804761,0.0122929196804761,0.984375,0.984375,9.94378497125586e-05,9.94378497125586e-05,0.0070331213064491
86.0,velocity,0.1,0.9,all,448,0.0193688925355672,0.0193688925355672,0.984375,0.984375,3.058882014426852e-05,3.058882014426852e-05,0.01194208161905405
86.0,velocity,0.1,0.9,near_transition,128,0.0193688925355672,0.0191011112183332,0.9609375,0.953125,1.2021278962494515e-05,2.26061529247094e-05,0.0122167849913239
86.0,velocity,0.1,0.9,far_from_transition,320,0.0193688925355672,0.0194256976246833,0.99375,0.99375,3.8015836616978116e-05,3.766080481000249e-05,0.0119000072591006
86.0,velocity,0.1,0.9,event_roi,192,0.0193688925355672,0.0193688925355672,0.9739583333333334,0.9739583333333334,8.014185974996343e-06,8.014185974996343e-06,0.0119790392927825
86.0,velocity,0.1,0.9,control_roi,256,0.0193688925355672,0.0193688925355672,0.9921875,0.9921875,4.751979577122264e-05,4.751979577122264e-05,0.0119000072591006
86.0,velocity,0.05,0.95,all,448,0.0203901566565036,0.0203901566565036,0.9955357142857143,0.9955357142857143,2.2594954186518292e-05,2.2594954186518292e-05,0.01194208161905405
86.0,velocity,0.05,0.95,near_transition,128,0.0203901566565036,0.0202858243137598,1.0,1.0,0.0,0.0,0.0122167849913239
86.0,velocity,0.05,0.95,far_from_transition,320,0.0203901566565036,0.0205000266432762,0.99375,0.99375,3.163293586112561e-05,3.0946248443796865e-05,0.0119000072591006
86.0,velocity,0.05,0.95,event_roi,192,0.0203901566565036,0.0203901566565036,1.0,1.0,0.0,0.0,0.0119790392927825
86.0,velocity,0.05,0.95,control_roi,256,0.0203901566565036,0.0203901566565036,0.9921875,0.9921875,3.954116982640701e-05,3.954116982640701e-05,0.0119000072591006
116.0,low_rank_dmd,0.1,0.9,all,320,0.0332705788314342,0.0332705788314342,1.0,1.0,0.0,0.0,0.01820747181773185
116.0,low_rank_dmd,0.1,0.9,near_transition,71,0.0332705788314342,0.0334489196538925,1.0,1.0,0.0,0.0,0.0189424157142639
116.0,low_rank_dmd,0.1,0.9,far_from_transition,249,0.0332705788314342,0.0329499132931232,1.0,1.0,0.0,0.0,0.0180531982332468
