roi_id,cycleNo,method,mae_mean,mae_median,mae_max,q90_undercoverage_rate,near_transition_fraction,transition_distance_frac_median,cohort_role_first,is_event_roi_first,event_reference_cycle_first,mode_label_first,is_event_enriched_mode_first,q70_max_abs_rate_per_s_first,q70_transformed_fraction_delta_first,roi_norm_total_variation_first,front_quality_score_first,high_fraction_slope_per_s_first,first_last_corr_first,cumulative_abs_first_last_first,calibration_review_priority
cycle158_rank1_obj2,158.0,low_rank_dmd,0.018130270444089498,0.0173732200637459,0.0253736041486263,0.0,0.28125,0.37368421052631584,control,0,156.0,front_negative_high_apparent_front_proxy,0,0.0138671874999999,0.0175130208333332,0.0539323598146438,0.8210227064111154,7.840760989608736e-08,0.9689371661183168,0.0166026204824447,2.3205128205128203
cycle86_rank6_obj78,86.0,persistence,0.008895804669009463,0.008626664988696499,0.0161239765584468,0.03125,0.3125,0.25806451612903225,event,1,86.0,near_baseline_or_context_like,0,6.638724257019765e-05,0.0078776041666666,0.0384361207485198,1.85813722649508,2.5179128129276577e-06,0.9731810239885106,0.0176862869411706,2.314102564102564
cycle86_rank5_obj8,86.0,low_rank_dmd,0.019802743336185768,0.0198455154895782,0.0255238357931375,0.0,0.3125,0.25806451612903225,event,1,86.0,near_baseline_or_context_like,0,0.0001077507224504,0.0084635416666666,0.0421976134181022,1.9606669965442456,2.7083524643134087e-06,0.976481740106244,0.0149396443739533,2.3044871794871793
cycle157_rank6_obj3,157.0,low_rank_dmd,0.018612726591527417,0.01816976629197595,0.0233045686036348,0.0,0.28125,0.25806451612903225,control,0,156.0,near_baseline_or_context_like,0,0.0102756076388888,-0.0693576388888889,0.0760897502303123,0.7929458469284842,-1.174923204685785e-06,0.942660407108382,0.0280471630394458,2.301282051282051
cycle58_rank4_obj2,58.0,velocity,0.01452639780472959,0.0131484363228082,0.0234005972743034,0.1875,0.28125,0.25806451612903225,control,0,60.0,near_baseline_or_context_like,0,4.6155669072779366e-05,0.0023654513888888,0.034161727130413,1.1091514494562902,1.4498641620724077e-06,0.9775682648340418,0.0155639443546533,2.269230769230769
cycle88_rank3_obj6,88.0,velocity,0.012668707669945387,0.0120893944986164,0.0232532024383544,0.03125,0.28125,0.25806451612903225,control,0,86.0,front_negative_high_apparent_front_proxy,0,4.335719389718601e-05,0.0025390625,0.0420526206493377,0.7769960856294926,2.3691815909839377e-06,0.994766934984919,0.0091487113386392,2.2275641025641026
cycle60_rank4_obj5,60.0,velocity,0.014369275537319424,0.013520024716854,0.0192916821688413,0.1875,0.28125,0.25806451612903225,event,1,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,3.776644583007257e-05,-0.0005642361111111,0.0359739810228348,1.5337954930279185,7.404400996871604e-07,0.843922762808349,0.036674365401268,2.217948717948718
cycle156_rank2_obj2,156.0,velocity,0.0094223202031571,0.0087987873703241,0.0149048883467912,0.0,0.28125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0093641493055555,0.1845703125,0.1043322518467903,1.2118362385241466,3.2458497123701337e-06,0.911386155315358,0.0451105311512947,2.198717948717949
cycle86_rank5_obj8,86.0,persistence,0.005407384931459044,0.00517572322860355,0.0116022117435932,0.03125,0.3125,0.25806451612903225,event,1,86.0,near_baseline_or_context_like,0,0.0001077507224504,0.0084635416666666,0.0421976134181022,1.9606669965442456,2.7083524643134087e-06,0.976481740106244,0.0149396443739533,2.1923076923076925
cycle86_rank6_obj78,86.0,low_rank_dmd,0.01905810949392612,0.0188060831278562,0.0255116820335388,0.0,0.3125,0.25806451612903225,event,1,86.0,near_baseline_or_context_like,0,6.638724257019765e-05,0.0078776041666666,0.0384361207485198,1.85813722649508,2.5179128129276577e-06,0.9731810239885106,0.0176862869411706,2.1826923076923075
cycle88_rank4_obj8,88.0,velocity,0.009619165764888696,0.00918437540531155,0.0188077464699745,0.0,0.3125,0.25806451612903225,control,0,86.0,front_negative_high_apparent_front_proxy,0,8.466062597819015e-05,0.0085503472222221,0.043460315465927,0.5810432952277503,3.266429286321349e-06,0.9975351601254318,0.0068697333335876,2.176282051282051
cycle88_rank3_obj6,88.0,persistence,0.007667580794077319,0.00715452083386475,0.0197545308619737,0.03125,0.28125,0.25806451612903225,control,0,86.0,front_negative_high_apparent_front_proxy,0,4.335719389718601e-05,0.0025390625,0.0420526206493377,0.7769960856294926,2.3691815909839377e-06,0.994766934984919,0.0091487113386392,2.1634615384615383
cycle157_rank4_obj8,157.0,velocity,0.013048072985839047,0.0128112751990556,0.0157075896859169,0.0,0.28125,0.25806451612903225,control,0,156.0,optical_loss_rollout_hard,0,0.0094943576388888,-0.0632812499999999,0.0882930427789688,0.8642722258468417,-8.223378788105824e-07,0.8972502479229767,0.0358449518680572,2.1474358974358974
cycle88_rank2_obj4,88.0,persistence,0.005514413132914297,0.0051573920063674,0.0148066990077495,0.03125,0.3125,0.25806451612903225,control,0,86.0,front_negative_high_apparent_front_proxy,0,6.218334387885914e-05,0.0117404513888889,0.031466194987297,0.6746893715851342,2.8154049070731158e-06,0.9966883622618068,0.0069057950749993,2.128205128205128
cycle58_rank3_obj9,58.0,low_rank_dmd,0.025096818804740854,0.025822428055107552,0.029634615406394,0.0,0.28125,0.25806451612903225,control,0,60.0,near_baseline_or_context_like,0,4.86083857867926e-05,0.005859375,0.0436238497495651,0.8161872484866202,3.644082840127265e-06,0.9791821792309802,0.0161265470087528,2.1282051282051277
cycle58_rank4_obj2,58.0,persistence,0.008575710235163509,0.00774803548119955,0.017881641164422,0.125,0.28125,0.25806451612903225,control,0,60.0,near_baseline_or_context_like,0,4.6155669072779366e-05,0.0023654513888888,0.034161727130413,1.1091514494562902,1.4498641620724077e-06,0.9775682648340418,0.0155639443546533,2.1089743589743586
cycle90_rank5_obj10,90.0,velocity,0.014934755192371037,0.0148691502399742,0.0157852191478014,0.0,0.28125,0.25806451612903225,control,0,86.0,near_baseline_or_context_like,0,5.898446353283949e-05,0.0035807291666666,0.0608732298016548,0.764701860494445,3.904349595617978e-06,0.9938667255075492,0.0115258758887648,2.0769230769230766
cycle60_rank1_obj1,60.0,low_rank_dmd,0.026295550283975854,0.025892917998135048,0.0283764265477657,0.0,0.3125,0.25806451612903225,event,1,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,2.885401023595556e-05,0.0025824652777777,0.0254436075687408,1.990971834925495,4.7090157014551014e-07,0.884558694761182,0.0280496031045913,2.067307692307692
cycle86_rank8_obj17,86.0,velocity,0.01269976852927352,0.012049033306539,0.0196078196167945,0.0625,0.28125,0.25806451612903225,event,1,86.0,near_baseline_or_context_like,0,3.096547803188208e-05,0.0056640625,0.0299256935715675,1.248393377128957,2.130350672726507e-06,0.9595343557809408,0.0183719638735055,2.0064102564102564
cycle157_rank2_obj2,157.0,velocity,0.009250097849871918,0.0089966966770589,0.0113615142181515,0.0,0.28125,0.37368421052631584,control,0,156.0,optical_loss_rollout_hard,0,0.0071723090277777,-0.0994140624999999,0.1020794421434402,0.6756360226257907,-1.6627463988316578e-06,0.889086857718422,0.0363945141434669,1.9935897435897436
cycle90_rank6_obj3,90.0,low_rank_dmd,0.025396379525773182,0.0251617711037397,0.0282844342291355,0.0,0.28125,0.25806451612903225,control,0,86.0,near_baseline_or_context_like,0,4.6344935632945065e-05,-0.0016276041666666,0.0417940244078636,1.289483423927142,1.2662477417587517e-06,0.992749536208364,0.0114260716363787,1.9935897435897436
cycle60_rank2_obj2,60.0,velocity,0.012430722446879322,0.011568411719053949,0.0175552740693092,0.09375,0.1875,0.4578947368421056,event,1,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,3.598395871124934e-05,0.006640625,0.0448234364390373,1.3721660201122636,1.9181429601235163e-06,0.9042864481677793,0.0284551549702882,1.9711538461538463
cycle60_rank3_obj9,60.0,velocity,0.012923968868562907,0.011997042689472399,0.0182068590074777,0.09375,0.1875,0.46842105263157896,event,1,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,5.436585712411757e-05,0.0082682291666666,0.0443706601858139,2.4945534720369364,3.56790626961385e-06,0.8693920360382953,0.03590939193964,1.9711538461538463
cycle88_rank3_obj6,88.0,low_rank_dmd,0.020970104087609746,0.0204344624653458,0.0268332529813051,0.0,0.28125,0.25806451612903225,control,0,86.0,front_negative_high_apparent_front_proxy,0,4.335719389718601e-05,0.0025390625,0.0420526206493377,0.7769960856294926,2.3691815909839377e-06,0.994766934984919,0.0091487113386392,1.948717948717949
cycle60_rank4_obj5,60.0,persistence,0.008558193745557175,0.008269696496427049,0.0128255859017372,0.15625,0.28125,0.25806451612903225,event,1,60.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,3.776644583007257e-05,-0.0005642361111111,0.0359739810228348,1.5337954930279185,7.404400996871604e-07,0.843922762808349,0.036674365401268,1.9423076923076925
cycle86_rank5_obj8,86.0,velocity,0.009114028769545215,0.008762004785239651,0.0133518176153302,0.0,0.3125,0.25806451612903225,event,1,86.0,near_baseline_or_context_like,0,0.0001077507224504,0.0084635416666666,0.0421976134181022,1.9606669965442456,2.7083524643134087e-06,0.976481740106244,0.0149396443739533,1.939102564102564
cycle157_rank1_obj1,157.0,low_rank_dmd,0.012175634037703218,0.0120115354657173,0.0154007421806454,0.0,0.28125,0.25806451612903225,control,0,156.0,near_baseline_or_context_like,0,0.0086588541666666,-0.0452039930555555,0.0504900261759758,0.9462923571539248,-8.550847308180111e-07,0.9304208044339694,0.0254690218716859,1.9358974358974357
