feature,transform,pre_clock_n,pre_clock_rho,pre_clock_p,pre_clock_perm_p_abs,post_clock_n,post_clock_rho,post_clock_p,post_clock_perm_p_abs,abs_pre_minus_abs_post_rho,source_eta2_after_transform,raw_source_eta2
frame_diff_mse_p95,raw,76,0.21092529598334372,0.06740487668213603,0.6454183266932271,40,-0.4183689976464716,0.0072191727464956,0.14342629482071714,-0.2074437016631279,0.6648823276962966,0.6648823276962966
velocity_minus_persistence_mse,source_residual,76,-0.024453517548367897,0.8339181751589706,0.6454183266932271,40,-0.12488626795417061,0.4425957365940024,0.2908366533864542,-0.10043275040580271,9.485952031334782e-33,0.7970380411936366
frame_diff_mse_p95,within_source_rank,76,0.0371699105175055,0.7498936766372245,0.649402390438247,40,-0.1715214280580624,0.2899344974812377,0.09561752988047809,-0.1343515175405569,0.002220577350111029,0.6648823276962966
dark_fraction_025_delta,within_source_rank,76,0.024368971947816818,0.8344842321841429,0.649402390438247,40,-0.0035075164962411628,0.9828626899567017,0.9721115537848606,0.020861455451575656,0.002233272786826668,0.24516094962236806
front_radius_q80_slope_px_per_norm_time,source_residual,43,-0.06679570951684885,0.6704155362764845,0.649402390438247,18,-0.39355053308351656,0.10613446781941067,0.0199203187250996,-0.32675482356666774,1.6856684996277742e-33,0.15336694105565868
temporal_energy_p95,within_source_rank,76,0.041134700972706086,0.7242307625091452,0.6573705179282868,40,-0.1715214280580624,0.2899344974812377,0.07171314741035857,-0.1303867270853563,0.002220577350111029,0.8374275676480234
temporal_energy_mean,raw,76,0.10017169632481647,0.38925348033832663,0.6653386454183267,40,-0.47286482366283694,0.0020610641974914447,0.32669322709163345,-0.37269312733802046,0.7281690036904103,0.7281690036904103
persistence_mse_late_mean,within_source_rank,76,0.021210141768982883,0.855691286200931,0.6693227091633466,40,-0.12359714470568609,0.4473563184766831,0.28286852589641437,-0.1023870029367032,0.0022205773501110296,0.6646846224893732
front_gradient_peak_radius_slope_px_per_norm_time,within_source_rank,70,0.06438865379817925,0.5964140858718404,0.6733067729083665,32,0.011068940097943526,0.9520553660513503,0.9282868525896414,0.05331971370023572,0.0032110788343122513,0.1932607245506234
roi_norm_mean_late_minus_early,within_source_rank,76,-0.06144006180999618,0.5980244476525174,0.6733067729083665,40,-0.23754139494720297,0.1399645522572667,0.1752988047808765,-0.1761013331372068,0.002220577350111029,0.5985554655138969
roi_norm_mean_positive_step_fraction,source_residual,76,-0.06688766317148503,0.5659051569073077,0.6812749003984063,40,0.30387509705275584,0.056613322492043316,0.00796812749003984,-0.2369874338812708,1.592115699374916e-30,0.12356133059905985
temporal_energy_p95,raw,76,0.2096642401456476,0.0690978499022495,0.6852589641434262,40,-0.4183689976464716,0.0072191727464956,0.11952191235059761,-0.208704757500824,0.8374275676480234,0.8374275676480234
