feature,transform,target,n,n_positive,oriented_auc,average_precision,direction,median_positive,median_negative,median_positive_minus_negative,mwu_p,within_source_perm_p,source_eta2_after_transform,raw_source_eta2,pre_clock_n,pre_clock_rho,pre_clock_p,pre_clock_perm_p_abs,post_clock_n,post_clock_rho,post_clock_p,post_clock_perm_p_abs,abs_pre_minus_abs_post_rho
front_radius_q60_delta_px,source_residual,clean_pre8_vs_post_control,84,32,0.5886418269230769,0.5603901404353218,higher_in_positive,0.0,-0.1,0.1,0.17394672480344286,,1.6097856765574955e-33,0.19692374664441703,76,0.13968046061364714,0.22880813333921818,,40,-0.30413963376359415,0.056387698412491104,,-0.164459173149947
front_gradient_peak_radius_slope_px_per_norm_time,source_residual,clean_pre8_vs_post_control,70,32,0.5862068965517242,0.4887250545962234,lower_in_positive,-0.06649484536082492,0.07683634020618538,-0.1433311855670103,0.22394533241658832,,2.4913504964176567e-33,0.1932607245506234,70,-0.11781152652758624,0.3313879389505963,,32,0.08871677487461609,0.6292058221125617,,0.029094751652970152
object_y_full_approx,source_residual,clean_pre8_vs_post_control,84,32,0.5823317307692308,0.5874130779328768,lower_in_positive,-78.68977242604326,-62.13804424450038,-16.551728181542884,0.20864456968697598,,7.63482183250649e-33,0.1767898202994347,76,-0.11020531451170285,0.34327417038925545,,40,0.13984133510094146,0.3894424041090599,,-0.029636020589238615
mask_centroid_drift_px,source_residual,clean_pre8_vs_post_control,84,32,0.5745192307692308,0.49787272363636537,lower_in_positive,-0.0861562885989941,-0.02602571596116962,-0.06013057263782448,0.2553073823027715,,9.127648809003947e-33,0.1618456126623724,76,-0.11982771883847093,0.30252135754119497,,40,-0.20984677448662908,0.19372823728356697,,-0.09001905564815815
mask_area_fraction_iqr,source_residual,clean_pre8_vs_post_control,84,32,0.5576923076923077,0.5162832096829153,lower_in_positive,-0.0017842610677083468,-0.0007514105902777599,-0.001032850477430587,0.3790487654291479,,1.986386695296688e-32,0.3839107963796472,76,-0.007402001267717018,0.9493997756424767,,40,-0.2791018867157601,0.08114752816596847,,-0.2716998854480431
roi_norm_mean_late_minus_early,source_residual,clean_pre8_vs_post_control,84,32,0.555889423076923,0.4463649556125523,lower_in_positive,-0.0003101466359415562,0.00016771622661808881,-0.00047786286255964503,0.3942068651785394,,1.304843487590849e-32,0.5985554655138969,76,-0.032951937324145975,0.7774956681525521,,40,-0.2064407853606063,0.20122703597637584,,-0.17348884803646034
dark_fraction_025_delta,source_residual,clean_pre8_vs_post_control,84,32,0.5531850961538461,0.41509774497115637,higher_in_positive,0.00023871527777775,-0.00012207031249995625,0.00036078559027770624,0.41760681855084636,,2.582430716117343e-33,0.24516094962236806,76,0.15851790428533633,0.17140941841832844,,40,0.006055375809513027,0.9704184755902135,,0.1524625284758233
mask_area_fraction_slope,source_residual,clean_pre8_vs_post_control,84,32,0.5522836538461537,0.46848254569814896,lower_in_positive,-0.0025690845607481924,-0.00047624288692237537,-0.002092841673825817,0.42559780071220854,,1.544281629907837e-33,0.3709568317727134,76,0.05611698477747655,0.6301694683464937,,40,0.057901815142388194,0.7226728150564559,,-0.0017848303649116437
roi_norm_mean_positive_step_fraction,source_residual,clean_pre8_vs_post_control,84,32,0.5498798076923078,0.46379874745679817,higher_in_positive,0.0,-0.002105263157894721,0.002105263157894721,0.44703380888019384,,1.592115699374916e-30,0.12356133059905985,76,-0.06688766317148503,0.5659051569073077,,40,0.30387509705275584,0.056613322492043316,,-0.2369874338812708
masked_minus_background_mean_median,source_residual,clean_pre8_vs_post_control,84,32,0.548076923076923,0.4442548672485666,lower_in_positive,-0.0015912853414192657,-2.105338498949172e-05,-0.001570231956429774,0.464003389471227,,3.0822746380990503e-30,0.43670484472087534,76,-0.007950134628953687,0.9456582101534861,,40,-0.18922161811237972,0.2422445534511404,,-0.18127148348342603
