embedding_row_id,roi_id,embedding_cohort,cycleNo,cohort_role,future_any_drop_within_8cycles,video_embedding_cluster,cluster_distance
balanced_future::cycle139_rank11_obj1,cycle139_rank11_obj1,balanced_future,139.0,future8_negative,0.0,7,9.2367872024997
balanced_future::cycle139_rank11_obj3,cycle139_rank11_obj3,balanced_future,139.0,future8_negative,0.0,0,8.39692269864748
balanced_future::cycle139_rank11_obj2,cycle139_rank11_obj2,balanced_future,139.0,future8_negative,0.0,0,8.593189697171386
balanced_future::cycle140_rank9_obj3,cycle140_rank9_obj3,balanced_future,140.0,future8_negative,0.0,0,7.8398812570451115
balanced_future::cycle140_rank9_obj1,cycle140_rank9_obj1,balanced_future,140.0,future8_negative,0.0,7,7.949970698292905
balanced_future::cycle140_rank9_obj2,cycle140_rank9_obj2,balanced_future,140.0,future8_negative,0.0,0,6.433947767904208
balanced_future::cycle143_rank10_obj3,cycle143_rank10_obj3,balanced_future,143.0,future8_negative,0.0,1,3.9788172470673278
balanced_future::cycle143_rank10_obj2,cycle143_rank10_obj2,balanced_future,143.0,future8_negative,0.0,1,5.430176665053188
balanced_future::cycle143_rank10_obj1,cycle143_rank10_obj1,balanced_future,143.0,future8_negative,0.0,0,4.765109798890478
balanced_future::cycle146_rank1_obj3,cycle146_rank1_obj3,balanced_future,146.0,future8_negative,0.0,0,4.4885095170306
balanced_future::cycle146_rank1_obj2,cycle146_rank1_obj2,balanced_future,146.0,future8_negative,0.0,0,3.44301819881757
balanced_future::cycle146_rank1_obj1,cycle146_rank1_obj1,balanced_future,146.0,future8_negative,0.0,0,3.3261520995025062
balanced_future::cycle147_rank3_obj3,cycle147_rank3_obj3,balanced_future,147.0,future8_negative,0.0,3,5.1494587408690125
balanced_future::cycle147_rank3_obj1,cycle147_rank3_obj1,balanced_future,147.0,future8_negative,0.0,0,4.942632228930464
balanced_future::cycle147_rank3_obj2,cycle147_rank3_obj2,balanced_future,147.0,future8_negative,0.0,0,3.6576308241367386
balanced_future::cycle148_rank18_obj1,cycle148_rank18_obj1,balanced_future,148.0,future8_positive,1.0,0,5.341283497833329
balanced_future::cycle148_rank18_obj2,cycle148_rank18_obj2,balanced_future,148.0,future8_positive,1.0,0,4.898206421463746
balanced_future::cycle148_rank18_obj3,cycle148_rank18_obj3,balanced_future,148.0,future8_positive,1.0,0,4.591380454500494
balanced_future::cycle149_rank20_obj3,cycle149_rank20_obj3,balanced_future,149.0,future8_positive,1.0,3,4.6669110307118675
balanced_future::cycle149_rank20_obj1,cycle149_rank20_obj1,balanced_future,149.0,future8_positive,1.0,6,4.637162549113258
balanced_future::cycle149_rank20_obj2,cycle149_rank20_obj2,balanced_future,149.0,future8_positive,1.0,6,5.133402640596508
balanced_future::cycle150_rank13_obj1,cycle150_rank13_obj1,balanced_future,150.0,future8_positive,1.0,3,3.6664802247224366
balanced_future::cycle150_rank13_obj2,cycle150_rank13_obj2,balanced_future,150.0,future8_positive,1.0,6,5.222979957045886
balanced_future::cycle150_rank13_obj3,cycle150_rank13_obj3,balanced_future,150.0,future8_positive,1.0,6,3.365689589107496
