anchor_feature,mechanism_feature,n,spearman_rho,spearman_p,source_residual_spearman_rho,source_residual_spearman_p,mechanism_source_eta2
particle_vs_context_mean_diff_positive_fraction,capacity_fraction_of_first,54,0.27134269336717126,0.047177282428123524,0.09667619872168429,0.4867854901191714,0.5193993446290935
particle_vs_context_mean_diff_positive_fraction,roi_norm_mean_delta_last_minus_first,72,0.21875202416751544,0.06487556216591987,0.048262786039916586,0.6872492699529893,0.5665204642804436
particle_vs_context_mean_diff_positive_fraction,transferred_masked_residual_signature,72,-0.17265347326196828,0.14697780105270222,-0.011863282328799124,0.9212137098994376,0.08606454639058475
particle_vs_context_mean_diff_positive_fraction,median_radius2_fit_r2,72,-0.16897756743724515,0.1559122321918419,-0.0954473437821758,0.42513376374302525,0.07128113788648097
particle_vs_context_mean_diff_positive_fraction,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.16109971224464145,0.17640689026159034,-0.2073255993838764,0.08055607766793123,0.3177135880068295
particle_vs_context_mean_diff_positive_fraction,persistence_particle_mse_fraction_of_full_mean,72,0.15205716388187865,0.20227530004755045,-0.10511921254175895,0.3795132130180472,0.49127687773101847
particle_vs_context_mean_diff_positive_fraction,object_mean_abs_z,72,-0.12376482562343125,0.3003008299095873,-0.006421090906944554,0.9573082458085802,0.18735935660413516
particle_vs_context_mean_diff_positive_fraction,frames_percentile,72,0.12127441859294462,0.31020628723189836,0.2655783115803914,0.02415074726023062,0.9931670133396445
particle_vs_context_mean_diff_positive_fraction,radius2_slope_median_px2_per_s,72,-0.12096632675624347,0.31144620847582744,-0.04724892958092534,0.6934894817048014,0.07478734597537161
particle_vs_context_mean_diff_positive_fraction,diffusion_proxy_median_um2_per_s,72,-0.12096632675624347,0.31144620847582744,-0.04724892958092534,0.6934894817048014,0.07478734597537168
particle_vs_context_mean_diff_positive_fraction,particle_gradient_diff_q90,172,-0.06848518290509172,0.3720317630356133,-0.047822791762265345,0.5333021082487172,0.6226563294430654
particle_vs_context_mean_diff_positive_fraction,state_step_norm,72,0.09999817199617234,0.4032898728855995,0.06774176317546929,0.5718030475399998,0.09922795337385493
particle_vs_context_mean_diff_positive_fraction,q70_radius2_slope_bootstrap_p50_px2_per_s,72,-0.09325633508287559,0.4358870233887539,-0.01890922760817005,0.8747278220089306,0.0728263482975305
particle_vs_context_mean_diff_positive_fraction,phase_slope_median_per_s,72,-0.0845858414828025,0.4799140550624144,-0.13426356249784063,0.2608326077868091,0.6706925006650919
particle_vs_context_mean_diff_positive_fraction,diffusion_proxy_abs_median_um2_per_s,72,-0.07712856993497845,0.5195987993140894,-0.09396679149285525,0.43238347147625855,0.29579211278703826
particle_vs_context_mean_diff_positive_fraction,negative_D_fraction,72,-0.07104839256979603,0.5531377769476309,0.1092052392770627,0.36116117969456674,0.1523825740069568
particle_vs_context_mean_diff_positive_fraction,positive_D_fraction,72,0.07104839256979603,0.5531377769476309,-0.10835255785126782,0.36494524597534544,0.15238257400695676
particle_vs_context_mean_diff_positive_fraction,object_mean_residual,72,-0.06773014310355595,0.5718691537383246,-0.05247914147254684,0.661524908089864,0.21511721966788822
particle_vs_context_mean_diff_positive_fraction,threshold_robust_phase_score,72,-0.06464040583327726,0.5895713356164246,-0.008175683599633587,0.9456582955880336,0.1422063197573402
particle_vs_context_mean_diff_positive_fraction,radius2_slope_positive_fraction,72,-0.06356672490027608,0.595780165852993,-0.041399468080456775,0.7298792183330994,0.10279431216931216
particle_vs_context_mean_diff_positive_fraction,front_contraction_score,72,0.04920828643922074,0.6814485002689868,0.07658639505300534,0.5225472557105001,0.07032076562599937
particle_vs_context_mean_diff_positive_fraction,threshold_robust_diffusion_score,72,0.036525912793041265,0.7606631765260229,0.10593493218634957,0.3758053591887603,0.09585626402405104
particle_vs_context_mean_diff_positive_fraction,cycle_index_rank,72,0.03472496016379953,0.7721363669887448,-0.29286229364728256,0.012541597965271996,0.9913787959098423
particle_vs_context_mean_diff_positive_fraction,phase_slope_positive_fraction,72,-0.03240199424089983,0.7870070657528437,0.03226236486634731,0.787903401743717,0.5143565618409769
particle_vs_context_mean_diff_positive_fraction,diffusion_physics_gate_count,72,0.026460632313721085,0.8253766604025218,-0.03139189674463994,0.793497434815372,0.2784188034188035
