cycleNo,pre_event_sampling_rank,event_relative_bin,selection_reason,sampling_priority,cycles_to_next_event,cycles_since_prev_event,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,downsample,n_candidates,overlay_png
38,42,far_pre_event_17_32,far_pre_event_17_32,0.6053293243813548,22.0,,True,0,0,1,0,0,5_c2_x10_260623,3,10,9279,2783,3711,2783,3710,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_38_pre42_5_c2_x10_260623_local3.png
40,43,far_pre_event_17_32,source_fill,0.5895044356307879,20.0,,True,0,0,1,0,0,5_c2_x10_260623,5,10,9279,4639,5567,4639,5566,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_40_pre43_5_c2_x10_260623_local5.png
42,44,far_pre_event_17_32,source_fill,0.5504042447792403,18.0,,True,0,0,1,0,0,5_c2_x10_260623,7,10,9279,6495,7423,6495,7422,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_42_pre44_5_c2_x10_260623_local7.png
44,45,mid_pre_event_9_16,mid_pre_event_9_16,1.8084170386544773,16.0,,True,0,1,1,0,0,5_c2_x10_260623,9,10,9279,8351,9279,8351,9278,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_44_pre45_5_c2_x10_260623_local9.png
46,46,mid_pre_event_9_16,source_fill,1.527450646131998,14.0,,True,0,1,1,0,0,6_c2_x10_270623_2,1,10,9256,925,1851,925,1850,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_46_pre46_6_c2_x10_270623_2_local1.png
48,47,mid_pre_event_9_16,source_fill,1.539126936668057,12.0,,True,0,1,1,0,0,6_c2_x10_270623_2,3,10,9256,2776,3702,2776,3701,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_48_pre47_6_c2_x10_270623_2_local3.png
50,48,mid_pre_event_9_16,mid_pre_event_9_16,1.9247069349321166,10.0,,False,0,1,1,0,0,6_c2_x10_270623_2,5,10,9256,4628,5553,4628,5552,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_50_pre48_6_c2_x10_270623_2_local5.png
52,49,near_pre_event_1_8,source_fill,1.5477891455525512,8.0,,True,1,1,1,0,0,6_c2_x10_270623_2,7,10,9256,6479,7404,6479,7403,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_52_pre49_6_c2_x10_270623_2_local7.png
54,50,near_pre_event_1_8,near_pre_event_1_8,1.554933377281131,6.0,,True,1,1,1,0,0,6_c2_x10_270623_2,9,10,9256,8330,9256,8330,9255,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_54_pre50_6_c2_x10_270623_2_local9.png
56,51,near_pre_event_1_8,source_fill,1.5529029537248147,4.0,,True,1,1,1,0,0,7_c2_x10_290623,1,10,9206,920,1841,920,1840,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_56_pre51_7_c2_x10_290623_local1.png
58,52,near_pre_event_1_8,near_pre_event_1_8,1.565541315477793,2.0,,True,1,1,1,0,0,7_c2_x10_290623,3,10,9206,2761,3682,2761,3681,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_58_pre52_7_c2_x10_290623_local3.png
62,53,post_event_1_16,post_event_1_16,0.11847210943734962,24.0,2.0,True,0,0,1,1,0,7_c2_x10_290623,7,10,9206,6444,7364,6444,7363,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_62_pre53_7_c2_x10_290623_local7.png
64,54,post_event_1_16,source_fill,0.09623369801073366,22.0,4.0,True,0,0,1,1,0,7_c2_x10_290623,9,10,9206,8285,9206,8285,9205,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_64_pre54_7_c2_x10_290623_local9.png
66,55,post_event_1_16,source_fill,0.49359589770136914,20.0,6.0,False,0,0,1,1,0,8_c2_x10_300623,1,10,9141,914,1828,914,1827,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_66_pre55_8_c2_x10_300623_local1.png
68,56,post_event_1_16,source_fill,0.09841352734754667,18.0,8.0,True,0,0,1,1,0,8_c2_x10_300623,3,10,9141,2742,3656,2742,3655,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_68_pre56_8_c2_x10_300623_local3.png
70,57,post_event_1_16,source_fill,1.086086372186693,16.0,10.0,True,0,1,1,1,0,8_c2_x10_300623,5,10,9141,4570,5484,4570,5483,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_70_pre57_8_c2_x10_300623_local5.png
72,58,post_event_1_16,source_fill,1.0826449101168432,14.0,12.0,True,0,1,1,1,0,8_c2_x10_300623,7,10,9141,6398,7312,6398,7311,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_72_pre58_8_c2_x10_300623_local7.png
74,59,post_event_1_16,post_event_1_16,1.0978332725296478,12.0,14.0,True,0,1,1,1,0,8_c2_x10_300623,9,10,9141,8226,9141,8226,9140,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_74_pre59_8_c2_x10_300623_local9.png
76,60,post_event_1_16,post_event_1_16,1.1909871480734808,10.0,16.0,True,0,1,1,1,0,9_c2_x10_010723,1,10,9096,909,1819,909,1818,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_76_pre60_9_c2_x10_010723_local1.png
78,61,near_pre_event_1_8,near_pre_event_1_8,1.5908050202087713,8.0,18.0,True,1,1,1,0,0,9_c2_x10_010723,3,10,9096,2728,3638,2728,3637,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_78_pre61_9_c2_x10_010723_local3.png
80,62,near_pre_event_1_8,source_fill,1.5441259342246825,6.0,20.0,True,1,1,1,0,0,9_c2_x10_010723,5,10,9096,4548,5457,4548,5456,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_80_pre62_9_c2_x10_010723_local5.png
82,63,near_pre_event_1_8,source_fill,1.56506460451546,4.0,22.0,True,1,1,1,0,0,9_c2_x10_010723,7,10,9096,6367,7276,6367,7275,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_82_pre63_9_c2_x10_010723_local7.png
84,64,near_pre_event_1_8,source_fill,1.5793660779597292,2.0,24.0,True,1,1,1,0,0,9_c2_x10_010723,9,10,9096,8186,9096,8186,9095,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_84_pre64_9_c2_x10_010723_local9.png
