feature_set,model,mean_balanced_accuracy,mean_roc_auc,mean_average_precision,folds,permutation_index
physics_no_selection_qc,logistic_l2,0.359375,0.265625,0.44250830188330187,4,38
physics_no_selection_qc,random_forest,0.44791666666666663,0.38541666666666663,0.47658441095941095,4,38
all_physics_plus_qc,logistic_l2,0.453125,0.46875,0.5026542901542902,4,39
all_physics_plus_qc,random_forest,0.5052083333333333,0.5833333333333333,0.6140314546564547,4,39
physics_no_selection_qc,logistic_l2,0.4583333333333333,0.421875,0.46776672401672403,4,39
physics_no_selection_qc,random_forest,0.5677083333333334,0.609375,0.6437841094091094,4,39
all_physics_plus_qc,logistic_l2,0.47395833333333337,0.49479166666666663,0.5545009388759389,4,40
all_physics_plus_qc,random_forest,0.484375,0.453125,0.5651896714396714,4,40
physics_no_selection_qc,logistic_l2,0.453125,0.5104166666666667,0.578196225071225,4,40
physics_no_selection_qc,random_forest,0.46354166666666663,0.43229166666666674,0.5311628186628187,4,40
all_physics_plus_qc,logistic_l2,0.5104166666666666,0.4479166666666667,0.5427171208421209,4,41
all_physics_plus_qc,random_forest,0.3958333333333333,0.375,0.47021843896843896,4,41
physics_no_selection_qc,logistic_l2,0.40625,0.33854166666666663,0.4497910654160654,4,41
physics_no_selection_qc,random_forest,0.42187499999999994,0.3072916666666667,0.42533357845857844,4,41
all_physics_plus_qc,logistic_l2,0.5625,0.5572916666666666,0.5220478595478595,4,42
all_physics_plus_qc,random_forest,0.4583333333333333,0.421875,0.49400784400784403,4,42
physics_no_selection_qc,logistic_l2,0.609375,0.609375,0.5625646344396344,4,42
physics_no_selection_qc,random_forest,0.4895833333333333,0.49479166666666663,0.5845694814444814,4,42
all_physics_plus_qc,logistic_l2,0.5364583333333333,0.625,0.6638495763495763,4,43
all_physics_plus_qc,random_forest,0.5833333333333333,0.6770833333333333,0.6749095811595811,4,43
physics_no_selection_qc,logistic_l2,0.5104166666666666,0.5416666666666666,0.6390630203130203,4,43
physics_no_selection_qc,random_forest,0.6510416666666667,0.6510416666666666,0.6469920126170126,4,43
all_physics_plus_qc,logistic_l2,0.36979166666666663,0.3177083333333333,0.44061401561401564,4,44
all_physics_plus_qc,random_forest,0.47916666666666663,0.359375,0.4656315906315906,4,44
physics_no_selection_qc,logistic_l2,0.359375,0.2864583333333333,0.40830708643208646,4,44
physics_no_selection_qc,random_forest,0.46875,0.390625,0.49693373755873754,4,44
all_physics_plus_qc,logistic_l2,0.4739583333333333,0.328125,0.48954968642468644,4,45
all_physics_plus_qc,random_forest,0.47916666666666663,0.421875,0.5064810189810189,4,45
physics_no_selection_qc,logistic_l2,0.44270833333333326,0.32291666666666663,0.4609428765678765,4,45
physics_no_selection_qc,random_forest,0.53125,0.47916666666666663,0.5367389554889554,4,45
all_physics_plus_qc,logistic_l2,0.5208333333333333,0.546875,0.6034045815295815,4,46
all_physics_plus_qc,random_forest,0.4739583333333333,0.5572916666666666,0.5958270895770896,4,46
physics_no_selection_qc,logistic_l2,0.5625,0.5416666666666666,0.5776785714285715,4,46
physics_no_selection_qc,random_forest,0.5364583333333333,0.5677083333333333,0.5931051587301587,4,46
all_physics_plus_qc,logistic_l2,0.515625,0.4427083333333333,0.5465654715654715,4,47
all_physics_plus_qc,random_forest,0.3489583333333333,0.33854166666666663,0.4529772311022311,4,47
physics_no_selection_qc,logistic_l2,0.5625,0.5208333333333333,0.6108158045658045,4,47
physics_no_selection_qc,random_forest,0.38541666666666663,0.3697916666666667,0.4895437895437895,4,47
all_physics_plus_qc,logistic_l2,0.5520833333333334,0.5677083333333334,0.6062738187738188,4,48
all_physics_plus_qc,random_forest,0.5989583333333333,0.6614583333333333,0.7510504541754541,4,48
physics_no_selection_qc,logistic_l2,0.5572916666666666,0.5677083333333334,0.60751517001517,4,48
physics_no_selection_qc,random_forest,0.5572916666666666,0.6458333333333333,0.6972806129056129,4,48
all_physics_plus_qc,logistic_l2,0.4270833333333333,0.296875,0.42352751415251416,4,49
all_physics_plus_qc,random_forest,0.4635416666666667,0.42708333333333337,0.4841455997705998,4,49
physics_no_selection_qc,logistic_l2,0.45312499999999994,0.33854166666666663,0.4385985542235542,4,49
physics_no_selection_qc,random_forest,0.46875,0.421875,0.4889738733488733,4,49
all_physics_plus_qc,logistic_l2,0.484375,0.5520833333333334,0.6476336163836164,4,50
all_physics_plus_qc,random_forest,0.4427083333333333,0.4322916666666667,0.4943435037185037,4,50
physics_no_selection_qc,logistic_l2,0.5260416666666666,0.5885416666666667,0.6512203074703075,4,50
physics_no_selection_qc,random_forest,0.47395833333333337,0.5,0.5350361444111444,4,50
all_physics_plus_qc,logistic_l2,0.640625,0.5729166666666667,0.6575892857142858,4,51
all_physics_plus_qc,random_forest,0.5625,0.5364583333333333,0.6152064370814371,4,51
physics_no_selection_qc,logistic_l2,0.5,0.45833333333333337,0.5276542901542902,4,51
physics_no_selection_qc,random_forest,0.48958333333333326,0.5416666666666666,0.5830330549080549,4,51
all_physics_plus_qc,logistic_l2,0.515625,0.640625,0.6992063492063492,4,52
all_physics_plus_qc,random_forest,0.6197916666666666,0.59375,0.61379847004847,4,52
physics_no_selection_qc,logistic_l2,0.5989583333333333,0.6354166666666667,0.7114417989417989,4,52
